Avg WT,Max WT,Avg TAT,Max TAT
"155,32",498,"160,49",508
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p26,0,8,206,206,198
p28,0,4,51,51,47
p37,0,10,417,417,407
p56,0,2,2,2,0
p59,0,3,41,41,38
p65,0,5,68,68,63
p66,0,8,214,214,206
p85,0,2,18,18,16
p93,0,10,427,427,417
p6,1,5,73,72,67
p25,1,5,78,77,72
p42,1,10,437,436,426
p45,1,6,109,108,102
p67,1,1,3,2,1
p80,1,6,115,114,108
p88,1,2,20,19,17
p97,1,7,170,169,162
p1,2,1,4,2,1
p13,2,1,5,3,2
p33,2,10,447,445,435
p35,2,9,335,333,324
p47,2,4,55,53,49
p78,2,1,6,4,3
p5,3,8,222,219,211
p36,3,6,121,118,112
p57,3,2,22,19,17
p63,3,8,230,227,219
p68,3,8,238,235,227
p84,3,0,3,0,0
p98,3,1,7,4,3
p11,4,5,83,79,74
p20,4,10,457,453,443
p21,4,9,344,340,331
p23,4,1,8,4,3
p50,4,9,353,349,340
p60,4,8,246,242,234
p62,4,10,467,463,453
p74,4,2,24,20,18
p75,4,5,88,84,79
p87,4,6,127,123,117
p8,5,7,177,172,165
p9,5,6,133,128,122
p12,5,0,5,0,0
p17,5,8,254,249,241
p22,5,6,139,134,128
p46,5,1,9,4,3
p49,5,6,145,140,134
p58,5,7,184,179,172
p69,5,9,362,357,348
p72,5,1,10,5,4
p82,5,5,93,88,83
p90,5,10,477,472,462
p2,6,9,371,365,356
p10,6,3,44,38,35
p24,6,9,380,374,365
p31,6,8,262,256,248
p34,6,7,191,185,178
p39,6,1,11,5,4
p43,6,8,270,264,256
p44,6,2,26,20,18
p51,6,8,278,272,264
p61,6,9,389,383,374
p0,7,10,487,480,470
p7,7,10,497,490,480
p16,7,9,398,391,382
p32,7,5,98,91,86
p38,7,5,103,96,91
p40,7,0,7,0,0
p41,7,2,28,21,19
p53,7,9,407,400,391
p54,7,0,7,0,0
p73,7,6,151,144,138
p91,7,7,198,191,184
p92,7,2,30,23,21
p94,7,3,47,40,37
p96,7,8,286,279,271
p99,7,8,294,287,279
p3,8,4,59,51,47
p4,8,1,12,4,3
p19,8,6,157,149,143
p27,8,10,507,499,489
p48,8,0,8,0,0
p64,8,2,32,24,22
p71,8,2,34,26,24
p77,8,1,13,5,4
p81,8,6,163,155,149
p83,8,4,63,55,51
p89,8,8,302,294,286
p95,8,2,36,28,26
p14,9,1,14,5,4
p29,9,0,9,0,0
p30,9,0,9,0,0
p76,9,10,517,508,498
p86,9,0,9,0,0
p15,10,2,38,28,26
p18,10,8,310,300,292
p52,10,8,318,308,300
p55,10,8,326,316,308
p70,10,1,15,5,4
p79,10,1,16,6,5
