Avg WT,Max WT,Avg TAT,Max TAT
"146,5",478,"151,47",488
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p28,0,3,3,3,0
p38,0,9,318,318,309
p68,0,5,83,83,78
p70,0,10,427,427,417
p1,1,8,221,220,212
p8,1,9,327,326,317
p10,1,2,6,5,3
p26,1,3,33,32,29
p42,1,2,10,9,7
p55,1,0,3,2,2
p74,1,5,88,87,82
p81,1,1,4,3,2
p85,1,8,229,228,220
p17,2,4,58,56,52
p22,2,8,237,235,227
p24,2,8,245,243,235
p30,2,2,16,14,12
p41,2,4,62,60,56
p43,2,7,178,176,169
p44,2,5,93,91,86
p58,2,0,3,1,1
p94,2,3,36,34,31
p5,3,10,437,434,424
p50,3,0,3,0,0
p57,3,10,447,444,434
p60,3,8,253,250,242
p67,3,4,66,63,59
p75,3,6,129,126,120
p78,3,0,3,0,0
p91,3,5,98,95,90
p4,4,0,4,0,0
p6,4,2,18,14,12
p20,4,6,135,131,125
p25,4,7,185,181,174
p33,4,5,103,99,94
p49,4,9,336,332,323
p64,4,0,4,0,0
p76,4,7,192,188,181
p83,4,9,345,341,332
p95,4,3,39,35,32
p96,4,3,42,38,35
p98,4,8,261,257,249
p0,5,2,20,15,13
p9,5,9,354,349,340
p13,5,2,22,17,15
p32,5,10,457,452,442
p36,5,3,45,40,37
p52,5,7,199,194,187
p61,5,3,48,43,40
p73,5,9,363,358,349
p79,5,6,141,136,130
p80,5,8,269,264,256
p88,5,5,108,103,98
p2,6,5,113,107,102
p15,6,0,6,0,0
p35,6,7,206,200,193
p66,6,1,7,1,0
p69,6,1,8,2,1
p92,6,9,372,366,357
p99,6,9,381,375,366
p12,7,8,277,270,262
p31,7,10,467,460,450
p47,7,2,24,17,15
p48,7,3,51,44,41
p51,7,5,118,111,106
p54,7,0,7,0,0
p65,7,6,147,140,134
p84,7,9,390,383,374
p27,8,7,213,205,198
p39,8,0,8,0,0
p40,8,3,54,46,43
p62,8,8,285,277,269
p71,8,6,153,145,139
p72,8,0,8,0,0
p86,8,6,159,151,145
p89,8,10,477,469,459
p3,9,10,487,478,468
p14,9,0,10,1,1
p18,9,6,165,156,150
p21,9,6,171,162,156
p34,9,10,497,488,478
p53,9,4,70,61,57
p59,9,9,399,390,381
p63,9,4,74,65,61
p77,9,2,26,17,15
p97,9,8,293,284,276
p7,10,1,11,1,0
p11,10,0,10,0,0
p16,10,2,28,18,16
p19,10,8,301,291,283
p23,10,1,12,2,1
p29,10,0,10,0,0
p37,10,4,78,68,64
p45,10,9,408,398,389
p46,10,5,123,113,108
p56,10,1,13,3,2
p82,10,9,417,407,398
p87,10,8,309,299,291
p90,10,2,30,20,18
p93,10,1,14,4,3
