Avg WT,Max WT,Avg TAT,Max TAT
"209,84",419,"205,19",409
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p19,0,7,0,0,7
p23,0,2,7,7,9
p24,0,8,9,9,17
p27,0,6,17,17,23
p50,0,0,23,23,23
p52,0,5,23,23,28
p77,0,2,28,28,30
p91,0,3,30,30,33
p95,0,4,33,33,37
p96,0,0,37,37,37
p5,1,4,36,37,41
p8,1,3,40,41,44
p20,1,1,43,44,45
p25,1,4,44,45,49
p28,1,0,48,49,49
p40,1,8,48,49,57
p48,1,5,56,57,62
p51,1,7,61,62,69
p55,1,9,68,69,78
p61,1,5,77,78,83
p99,1,1,82,83,84
p0,2,3,82,84,87
p13,2,1,85,87,88
p18,2,5,86,88,93
p22,2,2,91,93,95
p33,2,1,93,95,96
p38,2,1,94,96,97
p70,2,7,95,97,104
p72,2,9,102,104,113
p93,2,7,111,113,120
p37,3,4,117,120,124
p39,3,10,121,124,134
p42,3,8,131,134,142
p47,3,4,139,142,146
p57,3,2,143,146,148
p63,3,10,145,148,158
p69,3,8,155,158,166
p74,3,4,163,166,170
p76,3,5,167,170,175
p88,3,3,172,175,178
p14,4,0,174,178,178
p17,4,5,174,178,183
p30,4,2,179,183,185
p36,4,0,181,185,185
p45,4,0,181,185,185
p53,4,7,181,185,192
p58,4,3,188,192,195
p65,4,0,191,195,195
p66,4,2,191,195,197
p71,4,0,193,197,197
p73,4,1,193,197,198
p86,4,10,194,198,208
p87,4,2,204,208,210
p90,4,10,206,210,220
p21,5,10,215,220,230
p29,5,5,225,230,235
p44,5,2,230,235,237
p83,5,1,232,237,238
p97,5,4,233,238,242
p1,6,9,236,242,251
p4,6,5,245,251,256
p10,6,7,250,256,263
p16,6,7,257,263,270
p32,6,3,264,270,273
p34,6,2,267,273,275
p59,6,6,269,275,281
p7,7,9,274,281,290
p11,7,0,283,290,290
p31,7,3,283,290,293
p41,7,8,286,293,301
p54,7,10,294,301,311
p56,7,7,304,311,318
p62,7,1,311,318,319
p64,7,6,312,319,325
p75,7,2,318,325,327
p79,7,2,320,327,329
p82,7,1,322,329,330
p98,7,3,323,330,333
p2,8,10,325,333,343
p26,8,9,335,343,352
p60,8,3,344,352,355
p78,8,9,347,355,364
p85,8,0,356,364,364
p92,8,9,356,364,373
p6,9,7,364,373,380
p15,9,0,371,380,380
p35,9,5,371,380,385
p46,9,3,376,385,388
p49,9,0,379,388,388
p67,9,3,379,388,391
p68,9,0,382,391,391
p80,9,1,382,391,392
p94,9,10,383,392,402
p3,10,1,392,402,403
p9,10,4,393,403,407
p12,10,0,397,407,407
p43,10,0,397,407,407
p81,10,2,397,407,409
p84,10,10,399,409,419
p89,10,4,409,419,423
