Avg WT,Max WT,Avg TAT,Max TAT
"278,47",550,"272,86",540
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p46,0,3,0,0,3
p53,0,0,3,3,3
p64,0,7,3,3,10
p67,0,6,10,10,16
p75,0,10,16,16,26
p89,0,0,26,26,26
p40,1,2,25,26,28
p49,1,10,27,28,38
p72,1,7,37,38,45
p16,2,8,43,45,53
p21,2,10,51,53,63
p23,2,3,61,63,66
p45,2,4,64,66,70
p50,2,9,68,70,79
p63,2,4,77,79,83
p65,2,10,81,83,93
p70,2,10,91,93,103
p94,2,8,101,103,111
p30,3,2,108,111,113
p36,3,9,110,113,122
p39,3,0,119,122,122
p44,3,5,119,122,127
p48,3,6,124,127,133
p73,3,0,130,133,133
p86,3,9,130,133,142
p87,3,4,139,142,146
p95,3,10,143,146,156
p0,4,7,152,156,163
p6,4,9,159,163,172
p11,4,1,168,172,173
p15,4,9,169,173,182
p22,4,5,178,182,187
p24,4,3,183,187,190
p37,4,10,186,190,200
p51,4,3,196,200,203
p68,4,2,199,203,205
p79,4,9,201,205,214
p84,4,0,210,214,214
p93,4,4,210,214,218
p7,5,7,213,218,225
p33,5,2,220,225,227
p34,5,0,222,227,227
p54,5,7,222,227,234
p77,5,2,229,234,236
p82,5,10,231,236,246
p88,5,9,241,246,255
p98,5,9,250,255,264
p2,6,3,258,264,267
p3,6,6,261,267,273
p4,6,1,267,273,274
p12,6,3,268,274,277
p25,6,9,271,277,286
p59,6,8,280,286,294
p62,6,10,288,294,304
p83,6,7,298,304,311
p99,6,9,305,311,320
p9,7,9,313,320,329
p14,7,1,322,329,330
p17,7,3,323,330,333
p18,7,2,326,333,335
p27,7,7,328,335,342
p55,7,8,335,342,350
p58,7,10,343,350,360
p66,7,9,353,360,369
p80,7,2,362,369,371
p81,7,0,364,371,371
p96,7,10,364,371,381
p1,8,4,373,381,385
p13,8,6,377,385,391
p19,8,4,383,391,395
p26,8,6,387,395,401
p29,8,10,393,401,411
p32,8,6,403,411,417
p41,8,1,409,417,418
p52,8,9,410,418,427
p74,8,7,419,427,434
p76,8,4,426,434,438
p90,8,10,430,438,448
p91,8,4,440,448,452
p97,8,6,444,452,458
p5,9,4,449,458,462
p28,9,2,453,462,464
p42,9,1,455,464,465
p43,9,5,456,465,470
p57,9,9,461,470,479
p61,9,2,470,479,481
p69,9,9,472,481,490
p78,9,2,481,490,492
p85,9,6,483,492,498
p92,9,2,489,498,500
p8,10,7,490,500,507
p10,10,7,497,507,514
p20,10,0,504,514,514
p31,10,6,504,514,520
p35,10,9,510,520,529
p38,10,6,519,529,535
p47,10,3,525,535,538
p56,10,4,528,538,542
p60,10,8,532,542,550
p71,10,8,540,550,558
