Avg WT,Max WT,Avg TAT,Max TAT
"266,77",521,"261,81",511
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p4,0,3,0,0,3
p11,0,2,3,3,5
p20,0,4,5,5,9
p31,0,7,9,9,16
p40,0,10,16,16,26
p44,0,3,26,26,29
p51,0,2,29,29,31
p55,0,5,31,31,36
p69,0,3,36,36,39
p71,0,9,39,39,48
p80,0,9,48,48,57
p91,0,9,57,57,66
p16,1,10,65,66,76
p18,1,10,75,76,86
p22,1,9,85,86,95
p26,1,3,94,95,98
p48,1,8,97,98,106
p59,1,1,105,106,107
p60,1,3,106,107,110
p78,1,8,109,110,118
p94,1,7,117,118,125
p96,1,4,124,125,129
p19,2,6,127,129,135
p21,2,10,133,135,145
p49,2,5,143,145,150
p83,2,5,148,150,155
p89,2,2,153,155,157
p2,3,9,154,157,166
p57,3,10,163,166,176
p58,3,5,173,176,181
p61,3,2,178,181,183
p64,3,1,180,183,184
p74,3,9,181,184,193
p77,3,6,190,193,199
p99,3,3,196,199,202
p3,4,5,198,202,207
p8,4,9,203,207,216
p37,4,1,212,216,217
p46,4,5,213,217,222
p66,4,2,218,222,224
p70,4,5,220,224,229
p97,4,2,225,229,231
p10,5,2,226,231,233
p27,5,6,228,233,239
p28,5,9,234,239,248
p33,5,3,243,248,251
p34,5,9,246,251,260
p43,5,0,255,260,260
p50,5,3,255,260,263
p54,5,1,258,263,264
p68,5,3,259,264,267
p82,5,6,262,267,273
p86,5,10,268,273,283
p13,6,6,277,283,289
p14,6,5,283,289,294
p24,6,4,288,294,298
p29,6,6,292,298,304
p39,6,8,298,304,312
p53,6,5,306,312,317
p72,6,4,311,317,321
p98,6,4,315,321,325
p5,7,3,318,325,328
p6,7,7,321,328,335
p7,7,8,328,335,343
p17,7,7,336,343,350
p23,7,4,343,350,354
p36,7,0,347,354,354
p45,7,1,347,354,355
p75,7,7,348,355,362
p76,7,9,355,362,371
p84,7,4,364,371,375
p85,7,10,368,375,385
p90,7,9,378,385,394
p92,7,0,387,394,394
p0,8,2,386,394,396
p9,8,8,388,396,404
p12,8,4,396,404,408
p25,8,6,400,408,414
p30,8,5,406,414,419
p32,8,9,411,419,428
p47,8,3,420,428,431
p62,8,4,423,431,435
p65,8,7,427,435,442
p79,8,3,434,442,445
p87,8,0,437,445,445
p88,8,8,437,445,453
p93,8,7,445,453,460
p15,9,9,451,460,469
p35,9,8,460,469,477
p41,9,4,468,477,481
p63,9,0,472,481,481
p1,10,0,471,481,481
p38,10,8,471,481,489
p42,10,4,479,489,493
p52,10,0,483,493,493
p56,10,9,483,493,502
p67,10,5,492,502,507
p73,10,8,497,507,515
p81,10,6,505,515,521
p95,10,9,511,521,530
