Avg WT,Max WT,Avg TAT,Max TAT
"171,56",519,"176,95",529
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p32,0,1,1,1,0
p35,0,7,175,175,168
p85,0,7,182,182,175
p10,1,4,5,4,0
p28,1,7,189,188,181
p31,1,4,48,47,43
p46,1,5,97,96,91
p47,1,9,321,320,311
p72,1,5,102,101,96
p74,1,7,196,195,188
p1,2,0,5,3,3
p6,2,0,5,3,3
p42,2,1,6,4,3
p65,2,6,138,136,130
p67,2,6,144,142,136
p75,2,0,5,3,3
p80,2,7,203,201,194
p86,2,2,13,11,9
p99,2,9,330,328,319
p17,3,5,107,104,99
p30,3,9,339,336,327
p39,3,10,439,436,426
p62,3,9,348,345,336
p66,3,4,52,49,45
p88,3,1,7,4,3
p94,3,9,357,354,345
p95,3,9,366,363,354
p98,3,5,112,109,104
p0,4,1,8,4,3
p16,4,10,449,445,435
p19,4,10,459,455,445
p36,4,7,210,206,199
p54,4,6,150,146,140
p57,4,4,56,52,48
p83,4,0,5,1,1
p84,4,2,15,11,9
p11,5,1,9,4,3
p22,5,10,469,464,454
p26,5,4,60,55,51
p34,5,9,375,370,361
p41,5,4,64,59,55
p44,5,5,117,112,107
p55,5,8,288,283,275
p58,5,3,32,27,24
p69,5,7,217,212,205
p76,5,9,384,379,370
p77,5,4,68,63,59
p97,5,3,35,30,27
p5,6,6,156,150,144
p12,6,2,17,11,9
p18,6,4,72,66,62
p25,6,7,224,218,211
p38,6,2,19,13,11
p50,6,5,122,116,111
p53,6,7,231,225,218
p60,6,7,238,232,225
p78,6,7,245,239,232
p2,7,9,393,386,377
p14,7,4,76,69,65
p27,7,9,402,395,386
p33,7,0,7,0,0
p48,7,8,296,289,281
p49,7,0,7,0,0
p52,7,2,21,14,12
p68,7,8,304,297,289
p73,7,8,312,305,297
p79,7,4,80,73,69
p90,7,10,479,472,462
p96,7,10,489,482,472
p4,8,7,252,244,237
p23,8,9,411,403,394
p40,8,10,499,491,481
p43,8,4,84,76,72
p59,8,1,10,2,1
p61,8,5,127,119,114
p63,8,7,259,251,244
p64,8,7,266,258,251
p70,8,0,8,0,0
p87,8,9,420,412,403
p92,8,10,509,501,491
p93,8,4,88,80,76
p3,9,0,9,0,0
p9,9,7,273,264,257
p29,9,2,23,14,12
p56,9,2,25,16,14
p71,9,3,38,29,26
p81,9,3,41,32,29
p82,9,9,429,420,411
p89,9,10,519,510,500
p7,10,1,11,1,0
p8,10,3,44,34,31
p13,10,5,132,122,117
p15,10,10,529,519,509
p20,10,2,27,17,15
p21,10,2,29,19,17
p24,10,10,539,529,519
p37,10,6,162,152,146
p45,10,7,280,270,263
p51,10,4,92,82,78
p91,10,6,168,158,152
