Avg WT,Max WT,Avg TAT,Max TAT
"160,52",500,"165,7",510
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p2,0,0,0,0,0
p13,0,9,331,331,322
p18,0,9,340,340,331
p19,0,9,349,349,340
p20,0,5,71,71,66
p52,0,10,458,458,448
p65,0,6,122,122,116
p74,0,6,128,128,122
p76,0,4,54,54,50
p77,0,2,2,2,0
p83,0,6,134,134,128
p84,0,5,76,76,71
p95,0,9,358,358,349
p0,1,4,58,57,53
p5,1,3,23,22,19
p7,1,1,3,2,1
p33,1,0,2,1,1
p38,1,3,26,25,22
p41,1,0,2,1,1
p58,1,7,201,200,193
p59,1,4,62,61,57
p69,1,6,140,139,133
p79,1,9,367,366,357
p44,2,3,29,27,24
p81,2,8,258,256,248
p91,2,5,81,79,74
p8,3,1,4,1,0
p24,3,7,208,205,198
p39,3,2,9,6,4
p45,3,9,376,373,364
p47,3,7,215,212,205
p90,3,0,3,0,0
p3,4,0,4,0,0
p10,4,5,86,82,77
p17,4,10,468,464,454
p27,4,10,478,474,464
p40,4,7,222,218,211
p50,4,3,32,28,25
p51,4,8,266,262,254
p53,4,9,385,381,372
p64,4,1,5,1,0
p67,4,6,146,142,136
p78,4,0,4,0,0
p82,4,6,152,148,142
p87,4,5,91,87,82
p88,4,5,96,92,87
p23,5,1,6,1,0
p32,5,9,394,389,380
p46,5,10,488,483,473
p49,5,3,35,30,27
p89,5,0,5,0,0
p4,6,0,6,0,0
p6,6,2,14,8,6
p11,6,6,158,152,146
p26,6,1,7,1,0
p29,6,6,164,158,152
p55,6,5,101,95,90
p56,6,3,38,32,29
p68,6,2,16,10,8
p70,6,7,229,223,216
p72,6,5,106,100,95
p73,6,10,498,492,482
p75,6,7,236,230,223
p92,6,10,508,502,492
p99,6,6,170,164,158
p12,7,8,274,267,259
p21,7,2,18,11,9
p42,7,7,243,236,229
p43,7,9,403,396,387
p57,7,0,7,0,0
p80,7,7,250,243,236
p93,7,3,41,34,31
p94,7,6,176,169,163
p98,7,3,44,37,34
p9,8,5,111,103,98
p16,8,10,518,510,500
p22,8,9,412,404,395
p31,8,0,9,1,1
p34,8,6,182,174,168
p35,8,3,47,39,36
p37,8,8,282,274,266
p48,8,6,188,180,174
p61,8,9,421,413,404
p97,8,8,290,282,274
p1,9,4,66,57,53
p15,9,5,116,107,102
p25,9,6,194,185,179
p54,9,3,50,41,38
p60,9,8,298,289,281
p71,9,1,10,1,0
p14,10,9,430,420,411
p28,10,8,306,296,288
p30,10,0,10,0,0
p36,10,1,11,1,0
p62,10,1,12,2,1
p63,10,2,20,10,8
p66,10,9,439,429,420
p85,10,8,314,304,296
p86,10,8,322,312,304
p96,10,9,448,438,429
