Avg WT,Max WT,Avg TAT,Max TAT
"273,45",529,"268,71",519
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p19,0,4,0,0,4
p29,0,1,4,4,5
p41,0,3,5,5,8
p71,0,7,8,8,15
p84,0,9,15,15,24
p92,0,3,24,24,27
p98,0,9,27,27,36
p4,1,7,35,36,43
p8,1,7,42,43,50
p18,1,10,49,50,60
p21,1,6,59,60,66
p23,1,9,65,66,75
p42,1,3,74,75,78
p47,1,10,77,78,88
p73,1,10,87,88,98
p93,1,0,97,98,98
p1,2,0,96,98,98
p27,2,6,96,98,104
p32,2,10,102,104,114
p36,2,9,112,114,123
p49,2,6,121,123,129
p59,2,4,127,129,133
p62,2,7,131,133,140
p65,2,4,138,140,144
p72,2,5,142,144,149
p79,2,7,147,149,156
p88,2,3,154,156,159
p94,2,4,157,159,163
p5,3,4,160,163,167
p7,3,5,164,167,172
p12,3,10,169,172,182
p20,3,3,179,182,185
p52,3,10,182,185,195
p54,3,9,192,195,204
p57,3,10,201,204,214
p67,3,8,211,214,222
p75,3,4,219,222,226
p85,3,3,223,226,229
p89,3,0,226,229,229
p13,4,10,225,229,239
p28,4,5,235,239,244
p33,4,0,240,244,244
p34,4,6,240,244,250
p35,4,5,246,250,255
p44,4,8,251,255,263
p46,4,3,259,263,266
p60,4,3,262,266,269
p76,4,2,265,269,271
p6,5,10,266,271,281
p9,5,10,276,281,291
p22,5,4,286,291,295
p26,5,0,290,295,295
p39,5,6,290,295,301
p63,5,1,296,301,302
p0,6,2,296,302,304
p14,6,2,298,304,306
p15,6,8,300,306,314
p17,6,2,308,314,316
p25,6,7,310,316,323
p30,6,7,317,323,330
p38,6,10,324,330,340
p43,6,1,334,340,341
p48,6,3,335,341,344
p58,6,4,338,344,348
p64,6,6,342,348,354
p74,6,8,348,354,362
p80,6,3,356,362,365
p87,6,5,359,365,370
p91,6,5,364,370,375
p95,6,3,369,375,378
p10,7,6,371,378,384
p31,7,5,377,384,389
p50,7,4,382,389,393
p55,7,9,386,393,402
p61,7,1,395,402,403
p83,7,0,396,403,403
p97,7,1,396,403,404
p3,8,8,396,404,412
p16,8,4,404,412,416
p45,8,9,408,416,425
p51,8,2,417,425,427
p53,8,5,419,427,432
p56,8,8,424,432,440
p68,8,7,432,440,447
p69,8,7,439,447,454
p77,8,3,446,454,457
p81,8,7,449,457,464
p86,8,6,456,464,470
p90,8,8,462,470,478
p99,8,6,470,478,484
p2,9,9,475,484,493
p11,9,9,484,493,502
p37,9,0,493,502,502
p40,9,9,493,502,511
p70,9,7,502,511,518
p82,9,0,509,518,518
p96,9,0,509,518,518
p24,10,4,508,518,522
p66,10,7,512,522,529
p78,10,4,519,529,533
