Avg WT,Max WT,Avg TAT,Max TAT
"158,66",495,"163,8",505
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p7,0,0,0,0,0
p40,0,9,352,352,343
p49,0,3,3,3,0
p66,0,3,30,30,27
p70,0,6,141,141,135
p93,0,5,100,100,95
p97,0,0,0,0,0
p1,1,5,105,104,99
p14,1,8,247,246,238
p19,1,4,43,42,38
p39,1,2,13,12,10
p67,1,2,15,14,12
p96,1,1,4,3,2
p4,2,6,147,145,139
p5,2,10,434,432,422
p46,2,4,47,45,41
p57,2,8,255,253,245
p59,2,10,444,442,432
p60,2,4,51,49,45
p64,2,10,454,452,442
p71,2,5,110,108,103
p73,2,0,3,1,1
p29,3,1,5,2,1
p55,3,2,17,14,12
p56,3,6,153,150,144
p79,3,8,263,260,252
p83,3,4,55,52,48
p2,4,1,6,2,1
p9,4,0,4,0,0
p22,4,4,59,55,51
p23,4,7,190,186,179
p25,4,9,361,357,348
p31,4,4,63,59,55
p58,4,5,115,111,106
p69,4,1,7,3,2
p74,4,5,120,116,111
p91,4,5,125,121,116
p12,5,8,271,266,258
p15,5,7,197,192,185
p32,5,0,5,0,0
p35,5,4,67,62,58
p38,5,1,8,3,2
p47,5,4,71,66,62
p68,5,7,204,199,192
p77,5,9,370,365,356
p78,5,2,19,14,12
p89,5,6,159,154,148
p95,5,9,379,374,365
p98,5,9,388,383,374
p11,6,3,33,27,24
p20,6,1,9,3,2
p21,6,10,464,458,448
p36,6,4,75,69,65
p44,6,8,279,273,265
p48,6,10,474,468,458
p62,6,7,211,205,198
p75,6,2,21,15,13
p82,6,9,397,391,382
p86,6,10,484,478,468
p99,6,6,165,159,153
p17,7,8,287,280,272
p24,7,8,295,288,280
p26,7,8,303,296,288
p28,7,4,79,72,68
p41,7,7,218,211,204
p42,7,10,494,487,477
p51,7,4,83,76,72
p65,7,0,7,0,0
p92,7,7,225,218,211
p94,7,1,10,3,2
p3,8,9,406,398,389
p6,8,7,232,224,217
p53,8,8,311,303,295
p84,8,0,8,0,0
p88,8,8,319,311,303
p90,8,4,87,79,75
p0,9,10,504,495,485
p8,9,4,91,82,78
p13,9,8,327,318,310
p16,9,8,335,326,318
p18,9,0,9,0,0
p27,9,3,36,27,24
p30,9,10,514,505,495
p33,9,2,23,14,12
p34,9,5,130,121,116
p37,9,6,171,162,156
p45,9,6,177,168,162
p50,9,9,415,406,397
p63,9,1,11,2,1
p81,9,8,343,334,326
p87,9,2,25,16,14
p10,10,2,27,17,15
p43,10,4,95,85,81
p52,10,7,239,229,222
p54,10,0,10,0,0
p61,10,3,39,29,26
p72,10,6,183,173,167
p76,10,5,135,125,120
p80,10,0,10,0,0
p85,10,9,424,414,405
