Avg WT,Max WT,Avg TAT,Max TAT
"230,18",475,"225,18",465
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p3,0,7,0,0,7
p26,0,7,7,7,14
p35,0,9,14,14,23
p36,0,0,23,23,23
p38,0,2,23,23,25
p46,0,4,25,25,29
p49,0,4,29,29,33
p55,0,3,33,33,36
p62,0,2,36,36,38
p80,0,3,38,38,41
p81,0,5,41,41,46
p82,0,3,46,46,49
p92,0,5,49,49,54
p93,0,4,54,54,58
p94,0,9,58,58,67
p7,1,5,66,67,72
p8,1,7,71,72,79
p10,1,1,78,79,80
p14,1,9,79,80,89
p15,1,0,88,89,89
p60,1,6,88,89,95
p67,1,0,94,95,95
p86,1,2,94,95,97
p4,2,8,95,97,105
p18,2,8,103,105,113
p33,2,8,111,113,121
p54,2,1,119,121,122
p2,3,6,119,122,128
p28,3,6,125,128,134
p68,3,5,131,134,139
p76,3,4,136,139,143
p83,3,8,140,143,151
p88,3,5,148,151,156
p89,3,1,153,156,157
p95,3,8,154,157,165
p98,3,1,162,165,166
p99,3,5,163,166,171
p20,4,6,167,171,177
p25,4,7,173,177,184
p29,4,2,180,184,186
p51,4,9,182,186,195
p57,4,0,191,195,195
p69,4,1,191,195,196
p73,4,4,192,196,200
p78,4,10,196,200,210
p84,4,5,206,210,215
p1,5,9,210,215,224
p12,5,0,219,224,224
p21,5,4,219,224,228
p50,5,0,223,228,228
p52,5,9,223,228,237
p96,5,3,232,237,240
p9,6,10,234,240,250
p22,6,5,244,250,255
p31,6,4,249,255,259
p61,6,3,253,259,262
p65,6,5,256,262,267
p77,6,4,261,267,271
p85,6,1,265,271,272
p0,7,3,265,272,275
p5,7,1,268,275,276
p6,7,10,269,276,286
p13,7,1,279,286,287
p32,7,8,280,287,295
p40,7,8,288,295,303
p41,7,6,296,303,309
p43,7,5,302,309,314
p47,7,4,307,314,318
p70,7,0,311,318,318
p72,7,1,311,318,319
p97,7,3,312,319,322
p19,8,6,314,322,328
p24,8,4,320,328,332
p27,8,9,324,332,341
p63,8,3,333,341,344
p74,8,9,336,344,353
p75,8,7,345,353,360
p91,8,7,352,360,367
p11,9,6,358,367,373
p17,9,1,364,373,374
p30,9,10,365,374,384
p34,9,2,375,384,386
p39,9,2,377,386,388
p44,9,8,379,388,396
p45,9,1,387,396,397
p48,9,0,388,397,397
p56,9,10,388,397,407
p58,9,9,398,407,416
p59,9,3,407,416,419
p66,9,6,410,419,425
p79,9,1,416,425,426
p90,9,2,417,426,428
p16,10,3,418,428,431
p23,10,6,421,431,437
p37,10,7,427,437,444
p42,10,10,434,444,454
p53,10,10,444,454,464
p64,10,1,454,464,465
p71,10,10,455,465,475
p87,10,3,465,475,478
