Avg WT,Max WT,Avg TAT,Max TAT
"146,66",473,"151,59",483
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p3,0,5,97,97,92
p20,0,9,294,294,285
p28,0,5,102,102,97
p32,0,9,303,303,294
p33,0,0,0,0,0
p46,0,0,0,0,0
p47,0,4,64,64,60
p62,0,7,190,190,183
p73,0,0,0,0,0
p79,0,1,1,1,0
p81,0,10,403,403,393
p2,1,7,197,196,189
p17,1,9,312,311,302
p31,1,10,413,412,402
p48,1,7,204,203,196
p49,1,5,107,106,101
p54,1,1,2,1,0
p64,1,1,3,2,1
p72,1,5,112,111,106
p78,1,2,13,12,10
p84,1,8,261,260,252
p97,1,4,68,67,63
p98,1,3,30,29,26
p10,2,3,33,31,28
p11,2,9,321,319,310
p30,2,1,4,2,1
p55,2,6,153,151,145
p63,2,6,159,157,151
p74,2,1,5,3,2
p77,2,1,6,4,3
p13,3,10,423,420,410
p22,3,1,7,4,3
p35,3,7,211,208,201
p38,3,4,72,69,65
p43,3,4,76,73,69
p69,3,6,165,162,156
p80,3,5,117,114,109
p88,3,3,36,33,30
p93,3,2,15,12,10
p94,3,9,330,327,318
p95,3,4,80,77,73
p1,4,0,4,0,0
p6,4,9,339,335,326
p7,4,10,433,429,419
p8,4,5,122,118,113
p16,4,10,443,439,429
p56,4,2,17,13,11
p70,4,6,171,167,161
p82,4,7,218,214,207
p87,4,4,84,80,76
p92,4,5,127,123,118
p4,5,3,39,34,31
p68,5,9,348,343,334
p71,5,9,357,352,343
p75,5,1,8,3,2
p85,5,1,9,4,3
p86,5,10,453,448,438
p15,6,7,225,219,212
p23,6,7,232,226,219
p65,6,3,42,36,33
p90,6,1,10,4,3
p12,7,9,366,359,350
p25,7,3,45,38,35
p29,7,5,132,125,120
p34,7,10,463,456,446
p37,7,3,48,41,38
p57,7,3,51,44,41
p21,8,8,269,261,253
p24,8,1,11,3,2
p39,8,7,239,231,224
p41,8,7,246,238,231
p51,8,5,137,129,124
p52,8,3,54,46,43
p66,8,10,473,465,455
p99,8,0,8,0,0
p0,9,9,375,366,357
p5,9,3,57,48,45
p9,9,10,483,474,464
p18,9,2,19,10,8
p26,9,6,177,168,162
p27,9,5,142,133,128
p42,9,2,21,12,10
p50,9,2,23,14,12
p53,9,7,253,244,237
p59,9,9,384,375,366
p60,9,2,25,16,14
p67,9,5,147,138,133
p91,9,0,9,0,0
p14,10,4,88,78,74
p19,10,2,27,17,15
p36,10,0,10,0,0
p40,10,8,277,267,259
p44,10,10,493,483,473
p45,10,6,183,173,167
p58,10,8,285,275,267
p61,10,0,10,0,0
p76,10,0,10,0,0
p83,10,4,92,82,78
p89,10,3,60,50,47
p96,10,9,393,383,374
