Avg WT,Max WT,Avg TAT,Max TAT
"246,48",472,"242,08",462
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p9,0,10,0,0,10
p18,0,2,10,10,12
p32,0,2,12,12,14
p40,0,4,14,14,18
p64,0,8,18,18,26
p77,0,9,26,26,35
p82,0,3,35,35,38
p89,0,8,38,38,46
p90,0,2,46,46,48
p95,0,10,48,48,58
p99,0,10,58,58,68
p10,1,2,67,68,70
p13,1,6,69,70,76
p14,1,0,75,76,76
p19,1,0,75,76,76
p20,1,1,75,76,77
p29,1,10,76,77,87
p38,1,9,86,87,96
p86,1,10,95,96,106
p97,1,3,105,106,109
p4,2,6,107,109,115
p21,2,5,113,115,120
p27,2,5,118,120,125
p33,2,0,123,125,125
p39,2,7,123,125,132
p51,2,6,130,132,138
p54,2,7,136,138,145
p57,2,4,143,145,149
p69,2,6,147,149,155
p70,2,2,153,155,157
p73,2,9,155,157,166
p81,2,9,164,166,175
p91,2,0,173,175,175
p94,2,8,173,175,183
p0,3,5,180,183,188
p2,3,7,185,188,195
p6,3,3,192,195,198
p8,3,8,195,198,206
p11,3,8,203,206,214
p43,3,5,211,214,219
p55,3,2,216,219,221
p66,3,5,218,221,226
p68,3,2,223,226,228
p71,3,8,225,228,236
p74,3,3,233,236,239
p85,3,5,236,239,244
p3,4,4,240,244,248
p5,4,8,244,248,256
p15,4,2,252,256,258
p25,4,8,254,258,266
p26,4,3,262,266,269
p30,4,2,265,269,271
p37,4,3,267,271,274
p49,4,6,270,274,280
p72,4,0,276,280,280
p96,4,6,276,280,286
p1,5,0,281,286,286
p44,5,0,281,286,286
p50,5,0,281,286,286
p65,5,2,281,286,288
p87,5,0,283,288,288
p17,6,4,282,288,292
p31,6,2,286,292,294
p46,6,7,288,294,301
p75,6,9,295,301,310
p78,6,6,304,310,316
p79,6,5,310,316,321
p84,6,9,315,321,330
p88,6,2,324,330,332
p98,6,9,326,332,341
p12,7,6,334,341,347
p23,7,9,340,347,356
p24,7,0,349,356,356
p34,7,1,349,356,357
p35,7,0,350,357,357
p47,7,8,350,357,365
p59,7,8,358,365,373
p61,7,4,366,373,377
p92,7,5,370,377,382
p28,8,8,374,382,390
p41,8,8,382,390,398
p48,8,5,390,398,403
p52,8,3,395,403,406
p60,8,5,398,406,411
p67,8,0,403,411,411
p83,8,1,403,411,412
p93,8,5,404,412,417
p7,9,5,408,417,422
p16,9,0,413,422,422
p36,9,4,413,422,426
p53,9,5,417,426,431
p56,9,10,422,431,441
p58,9,6,432,441,447
p63,9,3,438,447,450
p76,9,9,441,450,459
p80,9,0,450,459,459
p22,10,1,449,459,460
p42,10,2,450,460,462
p45,10,10,452,462,472
p62,10,3,462,472,475
