Avg WT,Max WT,Avg TAT,Max TAT
"249,56",524,"244,41",514
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p6,0,6,0,0,6
p10,0,5,6,6,11
p14,0,4,11,11,15
p29,0,2,15,15,17
p36,0,1,17,17,18
p40,0,8,18,18,26
p51,0,5,26,26,31
p61,0,3,31,31,34
p81,0,2,34,34,36
p84,0,8,36,36,44
p98,0,8,44,44,52
p4,1,5,51,52,57
p27,1,7,56,57,64
p79,1,2,63,64,66
p99,1,3,65,66,69
p37,2,1,67,69,70
p42,2,1,68,70,71
p45,2,4,69,71,75
p46,2,10,73,75,85
p52,2,1,83,85,86
p57,2,8,84,86,94
p60,2,9,92,94,103
p65,2,3,101,103,106
p77,2,3,104,106,109
p88,2,0,107,109,109
p93,2,10,107,109,119
p8,3,8,116,119,127
p12,3,9,124,127,136
p32,3,3,133,136,139
p35,3,2,136,139,141
p50,3,8,138,141,149
p70,3,0,146,149,149
p75,3,3,146,149,152
p95,3,9,149,152,161
p11,4,5,157,161,166
p24,4,3,162,166,169
p30,4,10,165,169,179
p34,4,7,175,179,186
p44,4,2,182,186,188
p49,4,8,184,188,196
p72,4,10,192,196,206
p90,4,8,202,206,214
p3,5,7,209,214,221
p15,5,3,216,221,224
p16,5,1,219,224,225
p19,5,2,220,225,227
p53,5,3,222,227,230
p62,5,2,225,230,232
p69,5,8,227,232,240
p71,5,10,235,240,250
p80,5,7,245,250,257
p89,5,3,252,257,260
p5,6,3,254,260,263
p9,6,5,257,263,268
p21,6,3,262,268,271
p22,6,8,265,271,279
p26,6,5,273,279,284
p28,6,4,278,284,288
p55,6,6,282,288,294
p56,6,8,288,294,302
p74,6,9,296,302,311
p91,6,2,305,311,313
p25,7,10,306,313,323
p48,7,1,316,323,324
p64,7,0,317,324,324
p67,7,3,317,324,327
p78,7,9,320,327,336
p83,7,0,329,336,336
p92,7,5,329,336,341
p0,8,10,333,341,351
p2,8,10,343,351,361
p7,8,2,353,361,363
p17,8,6,355,363,369
p31,8,6,361,369,375
p54,8,6,367,375,381
p66,8,8,373,381,389
p68,8,3,381,389,392
p73,8,6,384,392,398
p76,8,1,390,398,399
p87,8,7,391,399,406
p94,8,8,398,406,414
p96,8,10,406,414,424
p97,8,7,416,424,431
p1,9,8,422,431,439
p13,9,5,430,439,444
p23,9,8,435,444,452
p38,9,4,443,452,456
p39,9,6,447,456,462
p47,9,9,453,462,471
p82,9,2,462,471,473
p86,9,5,464,473,478
p18,10,8,468,478,486
p20,10,8,476,486,494
p33,10,7,484,494,501
p41,10,1,491,501,502
p43,10,9,492,502,511
p58,10,2,501,511,513
p59,10,3,503,513,516
p63,10,8,506,516,524
p85,10,1,514,524,525
