Avg WT,Max WT,Avg TAT,Max TAT
"134,61",448,"139,29",458
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p1,0,2,2,2,0
p5,0,4,81,81,77
p25,0,7,178,178,171
p45,0,5,114,114,109
p49,0,8,249,249,241
p55,0,6,135,135,129
p61,0,7,185,185,178
p66,0,0,0,0,0
p0,1,1,3,2,1
p4,1,3,32,31,28
p9,1,3,35,34,31
p12,1,7,192,191,184
p18,1,9,306,305,296
p22,1,0,2,1,1
p27,1,2,13,12,10
p44,1,3,38,37,34
p48,1,1,4,3,2
p57,1,5,119,118,113
p58,1,6,141,140,134
p74,1,8,257,256,248
p86,1,6,147,146,140
p95,1,2,15,14,12
p2,2,3,41,39,36
p10,2,7,199,197,190
p35,2,1,5,3,2
p41,2,0,2,0,0
p53,2,4,85,83,79
p70,2,2,17,15,13
p80,2,9,315,313,304
p97,2,3,44,42,39
p7,3,6,153,150,144
p17,3,9,324,321,312
p20,3,9,333,330,321
p26,3,3,47,44,41
p31,3,0,3,0,0
p32,3,4,89,86,82
p34,3,3,50,47,44
p52,3,0,3,0,0
p64,3,3,53,50,47
p81,3,8,265,262,254
p99,3,6,159,156,150
p72,4,0,4,0,0
p13,5,1,6,1,0
p42,5,7,206,201,194
p47,5,10,388,383,373
p59,5,10,398,393,383
p63,5,8,273,268,260
p73,5,0,5,0,0
p77,5,3,56,51,48
p78,5,1,7,2,1
p85,5,9,342,337,328
p93,5,3,59,54,51
p8,6,2,19,13,11
p28,6,0,6,0,0
p30,6,9,351,345,336
p37,6,5,124,118,113
p50,6,4,93,87,83
p56,6,8,281,275,267
p62,6,3,62,56,53
p82,6,3,65,59,56
p92,6,8,289,283,275
p21,7,3,68,61,58
p23,7,2,21,14,12
p24,7,0,7,0,0
p29,7,7,213,206,199
p36,7,7,220,213,206
p38,7,6,165,158,152
p43,7,6,171,164,158
p51,7,10,408,401,391
p76,7,1,8,1,0
p88,7,10,418,411,401
p89,7,4,97,90,86
p90,7,0,7,0,0
p94,7,1,9,2,1
p15,8,0,8,0,0
p16,8,1,10,2,1
p19,8,7,227,219,212
p33,8,9,360,352,343
p46,8,9,369,361,352
p60,8,4,101,93,89
p68,8,4,105,97,93
p3,9,2,23,14,12
p14,9,2,25,16,14
p39,9,10,428,419,409
p40,9,1,11,2,1
p54,9,10,438,429,419
p65,9,10,448,439,429
p83,9,8,297,288,280
p84,9,9,378,369,360
p87,9,2,27,18,16
p96,9,10,458,449,439
p98,9,7,234,225,218
p6,10,7,241,231,224
p11,10,3,71,61,58
p67,10,10,468,458,448
p69,10,3,74,64,61
p71,10,5,129,119,114
p75,10,2,29,19,17
p79,10,4,109,99,95
p91,10,3,77,67,64
