Avg WT,Max WT,Avg TAT,Max TAT
"241,56",494,"236,47",484
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p1,0,6,0,0,6
p27,0,0,6,6,6
p72,0,9,6,6,15
p90,0,1,15,15,16
p92,0,4,16,16,20
p95,0,2,20,20,22
p98,0,2,22,22,24
p4,1,9,23,24,33
p5,1,8,32,33,41
p7,1,7,40,41,48
p13,1,8,47,48,56
p25,1,4,55,56,60
p73,1,5,59,60,65
p79,1,1,64,65,66
p93,1,8,65,66,74
p99,1,9,73,74,83
p20,2,2,81,83,85
p28,2,1,83,85,86
p31,2,0,84,86,86
p36,2,7,84,86,93
p37,2,2,91,93,95
p41,2,8,93,95,103
p43,2,2,101,103,105
p48,2,4,103,105,109
p49,2,1,107,109,110
p55,2,10,108,110,120
p62,2,9,118,120,129
p66,2,5,127,129,134
p67,2,10,132,134,144
p77,2,8,142,144,152
p81,2,2,150,152,154
p88,2,5,152,154,159
p97,2,5,157,159,164
p22,3,1,161,164,165
p42,3,4,162,165,169
p45,3,5,166,169,174
p51,3,4,171,174,178
p68,3,6,175,178,184
p76,3,8,181,184,192
p87,3,5,189,192,197
p18,4,10,193,197,207
p34,4,1,203,207,208
p69,4,6,204,208,214
p10,5,7,209,214,221
p21,5,7,216,221,228
p23,5,0,223,228,228
p24,5,1,223,228,229
p35,5,5,224,229,234
p60,5,6,229,234,240
p61,5,0,235,240,240
p83,5,9,235,240,249
p8,6,1,243,249,250
p11,6,8,244,250,258
p14,6,7,252,258,265
p26,6,4,259,265,269
p32,6,1,263,269,270
p39,6,9,264,270,279
p40,6,4,273,279,283
p50,6,9,277,283,292
p57,6,5,286,292,297
p59,6,3,291,297,300
p64,6,3,294,300,303
p84,6,0,297,303,303
p85,6,3,297,303,306
p6,7,5,299,306,311
p15,7,2,304,311,313
p44,7,3,306,313,316
p86,7,5,309,316,321
p17,8,2,313,321,323
p19,8,10,315,323,333
p38,8,7,325,333,340
p74,8,8,332,340,348
p80,8,9,340,348,357
p82,8,9,349,357,366
p89,8,10,358,366,376
p91,8,0,368,376,376
p94,8,5,368,376,381
p0,9,7,372,381,388
p3,9,1,379,388,389
p9,9,3,380,389,392
p12,9,9,383,392,401
p16,9,3,392,401,404
p29,9,10,395,404,414
p30,9,7,405,414,421
p47,9,3,412,421,424
p52,9,1,415,424,425
p54,9,0,416,425,425
p56,9,2,416,425,427
p65,9,6,418,427,433
p70,9,10,424,433,443
p78,9,5,434,443,448
p96,9,1,439,448,449
p2,10,10,439,449,459
p33,10,4,449,459,463
p46,10,2,453,463,465
p53,10,10,455,465,475
p58,10,2,465,475,477
p63,10,7,467,477,484
p71,10,10,474,484,494
p75,10,1,484,494,495
