Avg WT,Max WT,Avg TAT,Max TAT
"250,18",500,"245,12",490
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p5,0,10,0,0,10
p18,0,4,10,10,14
p27,0,1,14,14,15
p29,0,0,15,15,15
p30,0,5,15,15,20
p54,0,7,20,20,27
p74,0,9,27,27,36
p77,0,0,36,36,36
p88,0,7,36,36,43
p96,0,1,43,43,44
p19,1,5,43,44,49
p39,1,2,48,49,51
p41,1,7,50,51,58
p42,1,3,57,58,61
p75,1,4,60,61,65
p81,1,6,64,65,71
p4,2,10,69,71,81
p33,2,10,79,81,91
p59,2,2,89,91,93
p65,2,10,91,93,103
p95,2,2,101,103,105
p98,2,10,103,105,115
p0,3,0,112,115,115
p1,3,2,112,115,117
p7,3,6,114,117,123
p17,3,0,120,123,123
p24,3,10,120,123,133
p26,3,5,130,133,138
p34,3,5,135,138,143
p55,3,6,140,143,149
p72,3,5,146,149,154
p92,3,3,151,154,157
p8,4,4,153,157,161
p13,4,9,157,161,170
p14,4,3,166,170,173
p23,4,5,169,173,178
p31,4,2,174,178,180
p48,4,1,176,180,181
p51,4,2,177,181,183
p53,4,1,179,183,184
p70,4,4,180,184,188
p78,4,9,184,188,197
p80,4,5,193,197,202
p90,4,10,198,202,212
p93,4,9,208,212,221
p12,5,1,216,221,222
p21,5,5,217,222,227
p22,5,4,222,227,231
p32,5,7,226,231,238
p46,5,10,233,238,248
p62,5,4,243,248,252
p73,5,2,247,252,254
p79,5,9,249,254,263
p83,5,9,258,263,272
p87,5,6,267,272,278
p3,6,4,272,278,282
p45,6,8,276,282,290
p47,6,7,284,290,297
p50,6,3,291,297,300
p57,6,6,294,300,306
p60,6,10,300,306,316
p61,6,9,310,316,325
p71,6,6,319,325,331
p84,6,9,325,331,340
p94,6,4,334,340,344
p6,7,10,337,344,354
p9,7,10,347,354,364
p16,7,2,357,364,366
p35,7,7,359,366,373
p49,7,3,366,373,376
p52,7,1,369,376,377
p66,7,4,370,377,381
p68,7,1,374,381,382
p76,7,6,375,382,388
p85,7,3,381,388,391
p2,8,4,383,391,395
p28,8,5,387,395,400
p38,8,2,392,400,402
p40,8,4,394,402,406
p43,8,8,398,406,414
p58,8,4,406,414,418
p86,8,4,410,418,422
p99,8,1,414,422,423
p10,9,6,414,423,429
p11,9,2,420,429,431
p20,9,6,422,431,437
p36,9,1,428,437,438
p56,9,7,429,438,445
p63,9,2,436,445,447
p69,9,8,438,447,455
p89,9,0,446,455,455
p15,10,7,445,455,462
p25,10,3,452,462,465
p37,10,2,455,465,467
p44,10,10,457,467,477
p64,10,10,467,477,487
p67,10,4,477,487,491
p82,10,8,481,491,499
p91,10,1,489,499,500
p97,10,5,490,500,505
