Avg WT,Max WT,Avg TAT,Max TAT
"281,57",549,"277,01",539
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p4,0,9,0,0,9
p20,0,9,9,9,18
p34,0,2,18,18,20
p48,0,0,20,20,20
p50,0,4,20,20,24
p53,0,2,24,24,26
p64,0,8,26,26,34
p80,0,9,34,34,43
p86,0,7,43,43,50
p5,1,3,49,50,53
p11,1,8,52,53,61
p15,1,9,60,61,70
p17,1,10,69,70,80
p23,1,8,79,80,88
p24,1,7,87,88,95
p36,1,2,94,95,97
p39,1,0,96,97,97
p47,1,8,96,97,105
p65,1,8,104,105,113
p79,1,6,112,113,119
p2,2,0,117,119,119
p12,2,7,117,119,126
p14,2,3,124,126,129
p25,2,6,127,129,135
p27,2,7,133,135,142
p40,2,10,140,142,152
p43,2,9,150,152,161
p45,2,7,159,161,168
p49,2,10,166,168,178
p57,2,4,176,178,182
p58,2,7,180,182,189
p66,2,7,187,189,196
p77,2,10,194,196,206
p87,2,6,204,206,212
p99,2,1,210,212,213
p8,3,6,210,213,219
p19,3,7,216,219,226
p42,3,3,223,226,229
p59,3,4,226,229,233
p63,3,5,230,233,238
p72,3,6,235,238,244
p73,3,2,241,244,246
p97,3,4,243,246,250
p13,4,7,246,250,257
p55,4,8,253,257,265
p84,4,4,261,265,269
p92,4,8,265,269,277
p94,4,3,273,277,280
p0,5,8,275,280,288
p16,5,3,283,288,291
p18,5,1,286,291,292
p35,5,5,287,292,297
p37,5,9,292,297,306
p41,5,0,301,306,306
p46,5,2,301,306,308
p52,5,6,303,308,314
p68,5,9,309,314,323
p71,5,7,318,323,330
p89,5,5,325,330,335
p1,6,8,329,335,343
p7,6,8,337,343,351
p9,6,8,345,351,359
p22,6,6,353,359,365
p33,6,7,359,365,372
p51,6,8,366,372,380
p74,6,10,374,380,390
p75,6,3,384,390,393
p93,6,6,387,393,399
p6,7,2,392,399,401
p10,7,2,394,401,403
p21,7,4,396,403,407
p38,7,6,400,407,413
p61,7,5,406,413,418
p62,7,0,411,418,418
p76,7,3,411,418,421
p85,7,0,414,421,421
p90,7,3,414,421,424
p91,7,4,417,424,428
p26,8,2,420,428,430
p28,8,4,422,430,434
p29,8,9,426,434,443
p30,8,8,435,443,451
p31,8,10,443,451,461
p54,8,9,453,461,470
p67,8,2,462,470,472
p78,8,6,464,472,478
p83,8,0,470,478,478
p88,8,3,470,478,481
p95,8,10,473,481,491
p96,8,8,483,491,499
p3,9,2,490,499,501
p81,9,9,492,501,510
p82,9,3,501,510,513
p98,9,4,504,513,517
p32,10,2,507,517,519
p44,10,7,509,519,526
p56,10,8,516,526,534
p60,10,7,524,534,541
p69,10,8,531,541,549
p70,10,4,539,549,553
