Avg WT,Max WT,Avg TAT,Max TAT
"171,18",507,"176,45",517
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p9,0,2,2,2,0
p18,0,0,0,0,0
p32,0,7,207,207,200
p43,0,4,53,53,49
p46,0,9,349,349,340
p47,0,6,158,158,152
p53,0,0,0,0,0
p60,0,6,164,164,158
p63,0,7,214,214,207
p68,0,6,170,170,164
p94,0,7,221,221,214
p98,0,3,34,34,31
p1,1,2,7,6,4
p11,1,1,3,2,1
p12,1,5,102,101,96
p17,1,7,228,227,220
p26,1,7,235,234,227
p59,1,2,11,10,8
p75,1,5,107,106,101
p78,1,1,4,3,2
p84,1,4,57,56,52
p85,1,9,358,357,348
p3,2,9,367,365,356
p5,2,5,112,110,105
p31,2,2,13,11,9
p62,2,10,467,465,455
p77,2,9,376,374,365
p80,2,8,292,290,282
p86,2,4,61,59,55
p89,2,4,65,63,59
p6,3,7,242,239,232
p7,3,3,37,34,31
p19,3,0,3,0,0
p25,3,5,117,114,109
p35,3,0,3,0,0
p58,3,3,40,37,34
p66,3,7,249,246,239
p76,3,10,477,474,464
p87,3,4,69,66,62
p22,4,5,122,118,113
p27,4,5,127,123,118
p44,4,5,132,128,123
p54,4,0,4,0,0
p65,4,7,256,252,245
p71,4,2,15,11,9
p90,4,1,5,1,0
p16,5,5,137,132,127
p33,5,4,73,68,64
p37,5,4,77,72,68
p38,5,9,385,380,371
p40,5,0,5,0,0
p61,5,9,394,389,380
p67,5,9,403,398,389
p91,5,6,176,171,165
p99,5,10,487,482,472
p2,6,5,142,136,131
p24,6,9,412,406,397
p34,6,2,17,11,9
p36,6,3,43,37,34
p56,6,2,19,13,11
p64,6,5,147,141,136
p69,6,2,21,15,13
p92,6,8,300,294,286
p93,6,4,81,75,71
p14,7,6,182,175,169
p28,7,3,46,39,36
p41,7,7,263,256,249
p42,7,1,8,1,0
p73,7,4,85,78,74
p74,7,3,49,42,39
p79,7,2,23,16,14
p97,7,4,89,82,78
p8,8,1,9,1,0
p21,8,7,270,262,255
p23,8,8,308,300,292
p39,8,6,188,180,174
p81,8,2,25,17,15
p88,8,9,421,413,404
p0,9,9,430,421,412
p13,9,4,93,84,80
p20,9,6,194,185,179
p30,9,9,439,430,421
p49,9,7,277,268,261
p51,9,9,448,439,430
p52,9,6,200,191,185
p55,9,8,316,307,299
p72,9,10,497,488,478
p82,9,9,457,448,439
p95,9,8,324,315,307
p4,10,4,97,87,83
p10,10,8,332,322,314
p15,10,10,507,497,487
p29,10,10,517,507,497
p45,10,7,284,274,267
p48,10,2,27,17,15
p50,10,5,152,142,137
p57,10,2,29,19,17
p70,10,2,31,21,19
p83,10,10,527,517,507
p96,10,8,340,330,322
