Avg WT,Max WT,Avg TAT,Max TAT
"147,96",474,"152,9",484
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p27,0,4,57,57,53
p34,0,3,32,32,29
p39,0,2,2,2,0
p41,0,7,182,182,175
p42,0,6,139,139,133
p44,0,9,334,334,325
p55,0,3,35,35,32
p89,0,10,434,434,424
p90,0,7,189,189,182
p91,0,6,145,145,139
p15,1,0,2,1,1
p32,1,3,38,37,34
p47,1,10,444,443,433
p78,1,7,196,195,188
p86,1,5,78,77,72
p0,2,7,203,201,194
p6,2,8,253,251,243
p7,2,5,83,81,76
p16,2,0,2,0,0
p17,2,8,261,259,251
p37,2,8,269,267,259
p46,2,6,151,149,143
p49,2,8,277,275,267
p69,2,2,4,2,0
p77,2,8,285,283,275
p82,2,0,2,0,0
p92,2,7,210,208,201
p98,2,4,61,59,55
p11,3,9,343,340,331
p12,3,1,5,2,1
p31,3,7,217,214,207
p35,3,6,157,154,148
p51,3,10,454,451,441
p56,3,9,352,349,340
p63,3,4,65,62,58
p67,3,5,88,85,80
p83,3,8,293,290,282
p94,3,3,41,38,35
p1,4,7,224,220,213
p28,4,3,44,40,37
p30,4,2,15,11,9
p61,4,0,4,0,0
p96,4,9,361,357,348
p99,4,9,370,366,357
p5,5,2,17,12,10
p22,5,10,464,459,449
p26,5,5,93,88,83
p53,5,5,98,93,88
p54,5,9,379,374,365
p64,5,1,6,1,0
p66,5,8,301,296,288
p76,5,2,19,14,12
p2,6,6,163,157,151
p20,6,9,388,382,373
p23,6,1,7,1,0
p24,6,0,6,0,0
p29,6,0,6,0,0
p36,6,5,103,97,92
p43,6,10,474,468,458
p45,6,5,108,102,97
p93,6,9,397,391,382
p10,7,3,47,40,37
p13,7,2,21,14,12
p18,7,8,309,302,294
p38,7,2,23,16,14
p48,7,0,7,0,0
p52,7,3,50,43,40
p57,7,1,8,1,0
p71,7,10,484,477,467
p72,7,0,7,0,0
p79,7,5,113,106,101
p81,7,0,7,0,0
p88,7,5,118,111,106
p95,7,4,69,62,58
p3,8,6,169,161,155
p4,8,5,123,115,110
p9,8,7,231,223,216
p14,8,4,73,65,61
p33,8,1,9,1,0
p58,8,9,406,398,389
p59,8,1,10,2,1
p62,8,1,11,3,2
p85,8,7,238,230,223
p87,8,0,8,0,0
p8,9,2,25,16,14
p25,9,1,12,3,2
p80,9,1,13,4,3
p84,9,6,175,166,160
p19,10,10,494,484,474
p21,10,2,27,17,15
p40,10,8,317,307,299
p50,10,8,325,315,307
p60,10,0,10,0,0
p65,10,5,128,118,113
p68,10,9,415,405,396
p70,10,7,245,235,228
p73,10,9,424,414,405
p74,10,3,53,43,40
p75,10,5,133,123,118
p97,10,2,29,19,17
