Avg WT,Max WT,Avg TAT,Max TAT
"137,8",447,"142,44",457
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p3,0,2,2,2,0
p5,0,2,4,4,2
p24,0,2,14,14,12
p41,0,5,112,112,107
p51,0,3,29,29,26
p76,0,8,253,253,245
p96,0,9,342,342,333
p8,1,4,51,50,46
p20,1,8,261,260,252
p40,1,5,117,116,111
p48,1,9,351,350,341
p57,1,0,2,1,1
p74,1,3,32,31,28
p83,1,6,163,162,156
p86,1,9,360,359,350
p11,2,0,2,0,0
p22,2,10,424,422,412
p38,2,0,2,0,0
p44,2,6,169,167,161
p63,2,8,269,267,259
p70,2,3,35,33,30
p82,2,9,369,367,358
p93,2,8,277,275,267
p13,3,2,16,13,11
p16,3,7,224,221,214
p26,3,1,5,2,1
p35,3,0,4,1,1
p45,3,8,285,282,274
p59,3,4,55,52,48
p64,3,4,59,56,52
p95,3,8,293,290,282
p25,4,8,301,297,289
p29,4,4,63,59,55
p31,4,4,67,63,59
p39,4,0,4,0,0
p42,4,1,6,2,1
p60,4,5,122,118,113
p78,4,1,7,3,2
p81,4,4,71,67,63
p92,4,10,434,430,420
p2,5,7,231,226,219
p34,5,9,378,373,364
p54,5,5,127,122,117
p62,5,9,387,382,373
p69,5,6,175,170,164
p72,5,10,444,439,429
p77,5,0,5,0,0
p80,5,3,38,33,30
p89,5,7,238,233,226
p91,5,4,75,70,66
p7,6,1,8,2,1
p10,6,4,79,73,69
p14,6,1,9,3,2
p21,6,8,309,303,295
p23,6,6,181,175,169
p28,6,5,132,126,121
p43,6,4,83,77,73
p46,6,6,187,181,175
p53,6,5,137,131,126
p58,6,1,10,4,3
p68,6,0,6,0,0
p87,6,10,454,448,438
p88,6,0,6,0,0
p99,6,4,87,81,77
p0,7,7,245,238,231
p4,7,9,396,389,380
p15,7,5,142,135,130
p17,7,4,91,84,80
p27,7,2,18,11,9
p33,7,10,464,457,447
p49,7,2,20,13,11
p56,7,6,193,186,180
p61,7,1,11,4,3
p79,7,6,199,192,186
p85,7,8,317,310,302
p94,7,5,147,140,135
p97,7,1,12,5,4
p98,7,0,7,0,0
p12,8,2,22,14,12
p19,8,6,205,197,191
p32,8,4,95,87,83
p50,8,4,99,91,87
p73,8,6,211,203,197
p75,8,8,325,317,309
p84,8,9,405,397,388
p6,9,4,103,94,90
p9,9,0,9,0,0
p37,9,0,9,0,0
p47,9,3,41,32,29
p52,9,0,9,0,0
p55,9,3,44,35,32
p65,9,9,414,405,396
p67,9,5,152,143,138
p1,10,2,24,14,12
p18,10,6,217,207,201
p30,10,2,26,16,14
p36,10,8,333,323,315
p66,10,3,47,37,34
p71,10,5,157,147,142
p90,10,4,107,97,93
