Avg WT,Max WT,Avg TAT,Max TAT
"233,42",442,"228,53",432
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p14,0,3,0,0,3
p17,0,2,3,3,5
p45,0,3,5,5,8
p47,0,6,8,8,14
p54,0,4,14,14,18
p57,0,2,18,18,20
p58,0,9,20,20,29
p62,0,3,29,29,32
p74,0,10,32,32,42
p87,0,5,42,42,47
p88,0,1,47,47,48
p98,0,9,48,48,57
p2,1,8,56,57,65
p5,1,3,64,65,68
p8,1,10,67,68,78
p40,1,0,77,78,78
p60,1,6,77,78,84
p61,1,6,83,84,90
p70,1,1,89,90,91
p80,1,9,90,91,100
p10,2,6,98,100,106
p36,2,7,104,106,113
p38,2,10,111,113,123
p55,2,7,121,123,130
p63,2,6,128,130,136
p83,2,9,134,136,145
p95,2,2,143,145,147
p7,3,2,144,147,149
p13,3,5,146,149,154
p19,3,2,151,154,156
p32,3,3,153,156,159
p44,3,0,156,159,159
p89,3,2,156,159,161
p96,3,6,158,161,167
p97,3,8,164,167,175
p9,4,1,171,175,176
p24,4,5,172,176,181
p43,4,4,177,181,185
p46,4,3,181,185,188
p52,4,6,184,188,194
p53,4,4,190,194,198
p59,4,1,194,198,199
p69,4,3,195,199,202
p75,4,7,198,202,209
p78,4,0,205,209,209
p79,4,1,205,209,210
p3,5,4,205,210,214
p18,5,5,209,214,219
p25,5,6,214,219,225
p27,5,6,220,225,231
p33,5,3,226,231,234
p50,5,0,229,234,234
p56,5,9,229,234,243
p77,5,4,238,243,247
p91,5,10,242,247,257
p20,6,10,251,257,267
p28,6,2,261,267,269
p30,6,1,263,269,270
p35,6,2,264,270,272
p64,6,3,266,272,275
p67,6,8,269,275,283
p73,6,9,277,283,292
p86,6,2,286,292,294
p6,7,2,287,294,296
p12,7,4,289,296,300
p15,7,6,293,300,306
p23,7,8,299,306,314
p34,7,7,307,314,321
p37,7,4,314,321,325
p41,7,2,318,325,327
p42,7,3,320,327,330
p84,7,10,323,330,340
p92,7,8,333,340,348
p94,7,3,341,348,351
p99,7,2,344,351,353
p1,8,8,345,353,361
p16,8,2,353,361,363
p26,8,10,355,363,373
p39,8,7,365,373,380
p48,8,5,372,380,385
p51,8,4,377,385,389
p65,8,0,381,389,389
p66,8,3,381,389,392
p76,8,2,384,392,394
p93,8,4,386,394,398
p4,9,5,389,398,403
p21,9,9,394,403,412
p29,9,1,403,412,413
p31,9,1,404,413,414
p49,9,1,405,414,415
p68,9,6,406,415,421
p71,9,6,412,421,427
p72,9,2,418,427,429
p0,10,3,419,429,432
p11,10,9,422,432,441
p22,10,0,431,441,441
p81,10,0,431,441,441
p82,10,1,431,441,442
p85,10,0,432,442,442
p90,10,3,432,442,445
