Avg WT,Max WT,Avg TAT,Max TAT
"151,83",479,"156,78",489
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p0,0,2,13,13,11
p4,0,3,38,38,35
p11,0,0,0,0,0
p16,0,7,173,173,166
p28,0,8,258,258,250
p36,0,6,130,130,124
p40,0,10,445,445,435
p47,0,7,180,180,173
p48,0,7,187,187,180
p68,0,7,194,194,187
p82,0,9,363,363,354
p89,0,0,0,0,0
p91,0,6,136,136,130
p94,0,1,1,1,0
p7,1,2,15,14,12
p8,1,1,2,1,0
p17,1,1,3,2,1
p22,1,9,372,371,362
p29,1,8,266,265,257
p32,1,5,89,88,83
p35,1,2,17,16,14
p38,1,8,274,273,265
p49,1,8,282,281,273
p61,1,9,381,380,371
p63,1,4,72,71,67
p67,1,0,1,0,0
p69,1,3,41,40,37
p74,1,10,455,454,444
p77,1,3,44,43,40
p84,1,1,4,3,2
p14,2,3,47,45,42
p25,2,3,50,48,45
p45,2,7,201,199,192
p54,2,3,53,51,48
p58,2,5,94,92,87
p59,2,5,99,97,92
p60,2,3,56,54,51
p66,2,7,208,206,199
p72,2,10,465,463,453
p80,2,6,142,140,134
p81,2,5,104,102,97
p92,2,10,475,473,463
p33,3,1,5,2,1
p56,3,2,19,16,14
p86,3,4,76,73,69
p90,3,8,290,287,279
p95,3,7,215,212,205
p27,4,7,222,218,211
p31,4,2,21,17,15
p50,4,8,298,294,286
p55,4,8,306,302,294
p98,4,1,6,2,1
p6,5,10,485,480,470
p12,5,2,23,18,16
p13,5,7,229,224,217
p15,5,8,314,309,301
p19,5,4,80,75,71
p53,5,9,390,385,376
p57,5,5,109,104,99
p83,5,8,322,317,309
p93,5,8,330,325,317
p2,6,9,399,393,384
p37,6,1,7,1,0
p42,6,10,495,489,479
p46,6,7,236,230,223
p52,6,2,25,19,17
p62,6,0,6,0,0
p64,6,0,6,0,0
p65,6,1,8,2,1
p73,6,8,338,332,324
p76,6,1,9,3,2
p18,7,0,7,0,0
p20,7,1,10,3,2
p26,7,4,84,77,73
p30,7,8,346,339,331
p41,7,3,59,52,49
p43,7,1,11,4,3
p44,7,7,243,236,229
p70,7,5,114,107,102
p78,7,3,62,55,52
p79,7,8,354,347,339
p99,7,5,119,112,107
p3,8,2,27,19,17
p10,8,7,250,242,235
p23,8,6,148,140,134
p24,8,2,29,21,19
p34,8,2,31,23,21
p51,8,9,408,400,391
p75,8,6,154,146,140
p85,8,3,65,57,54
p96,8,9,417,409,400
p21,9,5,124,115,110
p39,9,0,9,0,0
p71,9,9,426,417,408
p97,9,6,160,151,145
p1,10,6,166,156,150
p5,10,9,435,425,416
p9,10,3,68,58,55
p87,10,2,33,23,21
p88,10,2,35,25,23
