Avg WT,Max WT,Avg TAT,Max TAT
"147,19",461,"152,0",471
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p18,0,7,216,216,209
p24,0,6,149,149,143
p34,0,1,1,1,0
p39,0,8,308,308,300
p91,0,3,27,27,24
p2,1,6,155,154,148
p23,1,0,1,0,0
p48,1,6,161,160,154
p53,1,4,58,57,53
p57,1,2,3,2,0
p14,2,0,3,1,1
p26,2,0,3,1,1
p51,2,5,103,101,96
p71,2,1,4,2,1
p92,2,7,223,221,214
p95,2,2,14,12,10
p11,3,9,357,354,345
p31,3,9,366,363,354
p33,3,1,5,2,1
p41,3,10,421,418,408
p49,3,6,167,164,158
p58,3,7,230,227,220
p64,3,8,316,313,305
p72,3,8,324,321,313
p77,3,1,6,3,2
p79,3,7,237,234,227
p84,3,5,108,105,100
p90,3,3,30,27,24
p94,3,7,244,241,234
p1,4,5,113,109,104
p8,4,3,33,29,26
p21,4,3,36,32,29
p36,4,6,173,169,163
p38,4,5,118,114,109
p43,4,4,62,58,54
p44,4,5,123,119,114
p47,4,9,375,371,362
p62,4,4,66,62,58
p78,4,4,70,66,62
p88,4,4,74,70,66
p93,4,2,16,12,10
p97,4,6,179,175,169
p99,4,5,128,124,119
p3,5,8,332,327,319
p27,5,7,251,246,239
p30,5,2,18,13,11
p46,5,6,185,180,174
p54,5,3,39,34,31
p67,5,4,78,73,69
p68,5,3,42,37,34
p74,5,10,431,426,416
p81,5,3,45,40,37
p82,5,0,5,0,0
p86,5,10,441,436,426
p5,6,1,7,1,0
p7,6,2,20,14,12
p9,6,10,451,445,435
p15,6,9,384,378,369
p22,6,1,8,2,1
p52,6,4,82,76,72
p69,6,7,258,252,245
p70,6,9,393,387,378
p10,7,1,9,2,1
p19,7,5,133,126,121
p28,7,7,265,258,251
p32,7,7,272,265,258
p73,7,10,461,454,444
p89,7,3,48,41,38
p96,7,1,10,3,2
p13,8,0,8,0,0
p37,8,3,51,43,40
p55,8,1,11,3,2
p61,8,6,191,183,177
p87,8,4,86,78,74
p20,9,0,9,0,0
p25,9,5,138,129,124
p40,9,0,9,0,0
p42,9,4,90,81,77
p45,9,3,54,45,42
p75,9,7,279,270,263
p76,9,0,9,0,0
p80,9,6,197,188,182
p83,9,1,12,3,2
p85,9,7,286,277,270
p98,9,8,340,331,323
p0,10,8,348,338,330
p4,10,6,203,193,187
p6,10,6,209,199,193
p12,10,7,293,283,276
p16,10,2,22,12,10
p17,10,4,94,84,80
p29,10,4,98,88,84
p35,10,0,10,0,0
p50,10,10,471,461,451
p56,10,5,143,133,128
p59,10,2,24,14,12
p60,10,10,481,471,461
p63,10,9,402,392,383
p65,10,9,411,401,392
p66,10,7,300,290,283
