Avg WT,Max WT,Avg TAT,Max TAT
"195,49",550,"201,16",560
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p5,0,1,1,1,0
p32,0,2,3,3,1
p34,0,2,5,5,3
p45,0,9,370,370,361
p53,0,7,221,221,214
p54,0,4,38,38,34
p58,0,3,19,19,16
p60,0,7,228,228,221
p69,0,5,91,91,86
p78,0,2,9,9,7
p81,0,5,96,96,91
p9,1,7,235,234,227
p11,1,10,497,496,486
p12,1,0,1,0,0
p19,1,8,313,312,304
p38,1,9,379,378,369
p48,1,4,42,41,37
p51,1,9,388,387,378
p66,1,7,242,241,234
p71,1,6,142,141,135
p72,1,4,46,45,41
p85,1,0,1,0,0
p14,2,7,249,247,240
p15,2,8,321,319,311
p20,2,9,397,395,386
p27,2,3,22,20,17
p40,2,9,406,404,395
p41,2,0,3,1,1
p47,2,3,25,23,20
p55,2,5,101,99,94
p59,2,3,28,26,23
p68,2,6,148,146,140
p74,2,10,507,505,495
p79,2,10,517,515,505
p94,2,6,154,152,146
p98,2,6,160,158,152
p22,3,2,11,8,6
p26,3,9,415,412,403
p28,3,4,50,47,43
p29,3,6,166,163,157
p30,3,0,3,0,0
p65,3,7,256,253,246
p82,3,0,3,0,0
p83,3,8,329,326,318
p97,3,10,527,524,514
p1,4,9,424,420,411
p3,4,5,106,102,97
p31,4,4,54,50,46
p52,4,4,58,54,50
p75,4,3,31,27,24
p84,4,1,6,2,1
p92,4,4,62,58,54
p10,5,9,433,428,419
p21,5,3,34,29,26
p43,5,7,263,258,251
p46,5,6,172,167,161
p50,5,8,337,332,324
p62,5,4,66,61,57
p67,5,7,270,265,258
p86,5,8,345,340,332
p99,5,1,7,2,1
p2,6,10,537,531,521
p17,6,5,111,105,100
p35,6,2,14,8,6
p49,6,2,16,10,8
p57,6,5,116,110,105
p63,6,10,547,541,531
p76,6,5,121,115,110
p80,6,4,70,64,60
p87,6,5,126,120,115
p90,6,6,178,172,166
p93,6,9,442,436,427
p95,6,6,184,178,172
p7,7,5,131,124,119
p23,7,6,190,183,177
p25,7,10,557,550,540
p36,7,4,74,67,63
p39,7,10,567,560,550
p70,7,0,7,0,0
p77,7,7,277,270,263
p88,7,7,284,277,270
p89,7,8,353,346,338
p96,7,9,451,444,435
p16,8,6,196,188,182
p18,8,7,291,283,276
p24,8,8,361,353,345
p56,8,7,298,290,283
p61,8,9,460,452,443
p64,8,5,136,128,123
p4,9,6,202,193,187
p8,9,4,78,69,65
p13,9,7,305,296,289
p33,9,6,208,199,193
p73,9,4,82,73,69
p91,9,9,469,460,451
p0,10,9,478,468,459
p6,10,4,86,76,72
p37,10,6,214,204,198
p42,10,1,12,2,1
p44,10,9,487,477,468
