Avg WT,Max WT,Avg TAT,Max TAT
"238,2",453,"233,1",443
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p7,0,10,0,0,10
p31,0,3,10,10,13
p60,0,3,13,13,16
p82,0,0,16,16,16
p86,0,7,16,16,23
p88,0,9,23,23,32
p10,1,2,31,32,34
p24,1,8,33,34,42
p37,1,9,41,42,51
p41,1,3,50,51,54
p43,1,4,53,54,58
p59,1,9,57,58,67
p63,1,4,66,67,71
p73,1,10,70,71,81
p91,1,7,80,81,88
p5,2,5,86,88,93
p17,2,10,91,93,103
p48,2,9,101,103,112
p56,2,9,110,112,121
p71,2,0,119,121,121
p85,2,6,119,121,127
p96,2,2,125,127,129
p97,2,2,127,129,131
p99,2,1,129,131,132
p4,3,3,129,132,135
p6,3,4,132,135,139
p11,3,1,136,139,140
p22,3,2,137,140,142
p26,3,5,139,142,147
p30,3,10,144,147,157
p33,3,8,154,157,165
p38,3,5,162,165,170
p57,3,2,167,170,172
p66,3,1,169,172,173
p72,3,2,170,173,175
p78,3,9,172,175,184
p92,3,3,181,184,187
p98,3,4,184,187,191
p18,4,0,187,191,191
p27,4,0,187,191,191
p45,4,4,187,191,195
p47,4,10,191,195,205
p64,4,7,201,205,212
p77,4,3,208,212,215
p90,4,2,211,215,217
p1,5,1,212,217,218
p3,5,0,213,218,218
p12,5,1,213,218,219
p21,5,3,214,219,222
p40,5,7,217,222,229
p42,5,2,224,229,231
p52,5,5,226,231,236
p55,5,8,231,236,244
p61,5,8,239,244,252
p83,5,7,247,252,259
p84,5,3,254,259,262
p89,5,6,257,262,268
p16,6,6,262,268,274
p29,6,5,268,274,279
p39,6,7,273,279,286
p69,6,3,280,286,289
p70,6,2,283,289,291
p74,6,10,285,291,301
p2,7,3,294,301,304
p8,7,1,297,304,305
p20,7,0,298,305,305
p44,7,2,298,305,307
p46,7,5,300,307,312
p75,7,10,305,312,322
p95,7,2,315,322,324
p0,8,10,316,324,334
p15,8,8,326,334,342
p23,8,5,334,342,347
p35,8,7,339,347,354
p36,8,1,346,354,355
p51,8,10,347,355,365
p53,8,9,357,365,374
p54,8,6,366,374,380
p67,8,4,372,380,384
p80,8,3,376,384,387
p81,8,4,379,387,391
p87,8,4,383,391,395
p14,9,2,386,395,397
p19,9,2,388,397,399
p32,9,8,390,399,407
p34,9,2,398,407,409
p50,9,3,400,409,412
p68,9,1,403,412,413
p93,9,6,404,413,419
p94,9,6,410,419,425
p9,10,1,415,425,426
p13,10,2,416,426,428
p25,10,8,418,428,436
p28,10,0,426,436,436
p49,10,0,426,436,436
p58,10,3,426,436,439
p62,10,4,429,439,443
p65,10,6,433,443,449
p76,10,4,439,449,453
p79,10,4,443,453,457
