Avg WT,Max WT,Avg TAT,Max TAT
"151,15",481,"156,16",491
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p0,0,9,326,326,317
p14,0,9,335,335,326
p17,0,10,381,381,371
p19,0,4,54,54,50
p26,0,4,58,58,54
p37,0,5,111,111,106
p50,0,1,1,1,0
p56,0,2,13,13,11
p71,0,1,2,2,1
p42,1,6,142,141,135
p48,1,10,391,390,380
p51,1,0,1,0,0
p52,1,3,32,31,28
p55,1,1,3,2,1
p61,1,9,344,343,334
p83,1,6,148,147,141
p84,1,4,62,61,57
p86,1,8,253,252,244
p87,1,10,401,400,390
p1,2,4,66,64,60
p3,2,8,261,259,251
p18,2,10,411,409,399
p20,2,5,116,114,109
p24,2,2,15,13,11
p39,2,6,154,152,146
p45,2,2,17,15,13
p46,2,8,269,267,259
p57,2,10,421,419,409
p58,2,8,277,275,267
p68,2,3,35,33,30
p90,2,10,431,429,419
p98,2,5,121,119,114
p8,3,5,126,123,118
p11,3,10,441,438,428
p22,3,0,3,0,0
p30,3,6,160,157,151
p69,3,6,166,163,157
p80,3,7,203,200,193
p93,3,1,4,1,0
p94,3,1,5,2,1
p5,4,4,70,66,62
p7,4,4,74,70,66
p16,4,10,451,447,437
p23,4,1,6,2,1
p25,4,7,210,206,199
p29,4,4,78,74,70
p33,4,10,461,457,447
p44,4,2,19,15,13
p49,4,6,172,168,162
p59,4,0,4,0,0
p10,5,4,82,77,73
p13,5,7,217,212,205
p21,5,2,21,16,14
p27,5,8,285,280,272
p35,5,4,86,81,77
p54,5,1,7,2,1
p73,5,2,23,18,16
p74,5,8,293,288,280
p4,6,3,38,32,29
p6,6,6,178,172,166
p9,6,0,6,0,0
p15,6,1,8,2,1
p28,6,8,301,295,287
p65,6,2,25,19,17
p79,6,8,309,303,295
p88,6,5,131,125,120
p95,6,9,353,347,338
p31,7,0,7,0,0
p34,7,1,9,2,1
p47,7,7,224,217,210
p81,7,6,184,177,171
p85,7,0,7,0,0
p96,7,4,90,83,79
p12,8,6,190,182,176
p36,8,7,231,223,216
p38,8,8,317,309,301
p63,8,3,41,33,30
p70,8,10,471,463,453
p72,8,1,10,2,1
p82,8,7,238,230,223
p89,8,2,27,19,17
p99,8,6,196,188,182
p32,9,4,94,85,81
p40,9,3,44,35,32
p53,9,1,11,2,1
p60,9,0,9,0,0
p66,9,10,481,472,462
p67,9,4,98,89,85
p77,9,7,245,236,229
p2,10,2,29,19,17
p41,10,3,47,37,34
p43,10,10,491,481,471
p62,10,9,362,352,343
p64,10,3,50,40,37
p75,10,4,102,92,88
p76,10,0,10,0,0
p78,10,5,136,126,121
p91,10,4,106,96,92
p92,10,10,501,491,481
p97,10,9,371,361,352
