Avg WT,Max WT,Avg TAT,Max TAT
"219,52",465,"214,55",455
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p1,0,2,0,0,2
p5,0,4,2,2,6
p25,0,7,6,6,13
p45,0,5,13,13,18
p49,0,8,18,18,26
p55,0,6,26,26,32
p61,0,7,32,32,39
p66,0,0,39,39,39
p0,1,1,38,39,40
p4,1,3,39,40,43
p9,1,3,42,43,46
p12,1,7,45,46,53
p18,1,9,52,53,62
p22,1,0,61,62,62
p27,1,2,61,62,64
p44,1,3,63,64,67
p48,1,1,66,67,68
p57,1,5,67,68,73
p58,1,6,72,73,79
p74,1,8,78,79,87
p86,1,6,86,87,93
p95,1,2,92,93,95
p2,2,3,93,95,98
p10,2,7,96,98,105
p35,2,1,103,105,106
p41,2,0,104,106,106
p53,2,4,104,106,110
p70,2,2,108,110,112
p80,2,9,110,112,121
p97,2,3,119,121,124
p7,3,6,121,124,130
p17,3,9,127,130,139
p20,3,9,136,139,148
p26,3,3,145,148,151
p31,3,0,148,151,151
p32,3,4,148,151,155
p34,3,3,152,155,158
p52,3,0,155,158,158
p64,3,3,155,158,161
p81,3,8,158,161,169
p99,3,6,166,169,175
p72,4,0,171,175,175
p13,5,1,170,175,176
p42,5,7,171,176,183
p47,5,10,178,183,193
p59,5,10,188,193,203
p63,5,8,198,203,211
p73,5,0,206,211,211
p77,5,3,206,211,214
p78,5,1,209,214,215
p85,5,9,210,215,224
p93,5,3,219,224,227
p8,6,2,221,227,229
p28,6,0,223,229,229
p30,6,9,223,229,238
p37,6,5,232,238,243
p50,6,4,237,243,247
p56,6,8,241,247,255
p62,6,3,249,255,258
p82,6,3,252,258,261
p92,6,8,255,261,269
p21,7,3,262,269,272
p23,7,2,265,272,274
p24,7,0,267,274,274
p29,7,7,267,274,281
p36,7,7,274,281,288
p38,7,6,281,288,294
p43,7,6,287,294,300
p51,7,10,293,300,310
p76,7,1,303,310,311
p88,7,10,304,311,321
p89,7,4,314,321,325
p90,7,0,318,325,325
p94,7,1,318,325,326
p15,8,0,318,326,326
p16,8,1,318,326,327
p19,8,7,319,327,334
p33,8,9,326,334,343
p46,8,9,335,343,352
p60,8,4,344,352,356
p68,8,4,348,356,360
p3,9,2,351,360,362
p14,9,2,353,362,364
p39,9,10,355,364,374
p40,9,1,365,374,375
p54,9,10,366,375,385
p65,9,10,376,385,395
p83,9,8,386,395,403
p84,9,9,394,403,412
p87,9,2,403,412,414
p96,9,10,405,414,424
p98,9,7,415,424,431
p6,10,7,421,431,438
p11,10,3,428,438,441
p67,10,10,431,441,451
p69,10,3,441,451,454
p71,10,5,444,454,459
p75,10,2,449,459,461
p79,10,4,451,461,465
p91,10,3,455,465,468
