Avg WT,Max WT,Avg TAT,Max TAT
"226,59",472,"221,45",462
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p41,0,9,0,0,9
p80,0,7,9,9,16
p84,0,7,16,16,23
p0,1,2,22,23,25
p3,1,2,24,25,27
p6,1,6,26,27,33
p7,1,0,32,33,33
p14,1,8,32,33,41
p44,1,2,40,41,43
p49,1,2,42,43,45
p61,1,3,44,45,48
p71,1,2,47,48,50
p1,2,2,48,50,52
p9,2,6,50,52,58
p33,2,7,56,58,65
p38,2,8,63,65,73
p97,2,4,71,73,77
p98,2,2,75,77,79
p11,3,7,76,79,86
p13,3,6,83,86,92
p26,3,0,89,92,92
p30,3,0,89,92,92
p36,3,0,89,92,92
p43,3,2,89,92,94
p53,3,7,91,94,101
p56,3,8,98,101,109
p58,3,7,106,109,116
p62,3,1,113,116,117
p66,3,4,114,117,121
p70,3,6,118,121,127
p75,3,8,124,127,135
p83,3,1,132,135,136
p94,3,3,133,136,139
p99,3,1,136,139,140
p2,4,7,136,140,147
p16,4,1,143,147,148
p39,4,6,144,148,154
p51,4,1,150,154,155
p60,4,6,151,155,161
p79,4,9,157,161,170
p20,5,7,165,170,177
p27,5,1,172,177,178
p29,5,4,173,178,182
p35,5,7,177,182,189
p42,5,8,184,189,197
p45,5,6,192,197,203
p50,5,6,198,203,209
p57,5,1,204,209,210
p64,5,8,205,210,218
p82,5,4,213,218,222
p87,5,8,217,222,230
p95,5,0,225,230,230
p8,6,3,224,230,233
p10,6,5,227,233,238
p15,6,4,232,238,242
p17,6,7,236,242,249
p21,6,6,243,249,255
p23,6,9,249,255,264
p24,6,3,258,264,267
p68,6,6,261,267,273
p69,6,5,267,273,278
p77,6,2,272,278,280
p81,6,8,274,280,288
p91,6,9,282,288,297
p92,6,4,291,297,301
p4,7,10,294,301,311
p5,7,0,304,311,311
p12,7,5,304,311,316
p28,7,9,309,316,325
p31,7,5,318,325,330
p37,7,1,323,330,331
p40,7,3,324,331,334
p46,7,6,327,334,340
p52,7,7,333,340,347
p54,7,4,340,347,351
p55,7,7,344,351,358
p65,7,6,351,358,364
p72,7,6,357,364,370
p73,7,0,363,370,370
p78,7,6,363,370,376
p86,7,8,369,376,384
p18,8,8,376,384,392
p63,8,2,384,392,394
p90,8,8,386,394,402
p93,8,3,394,402,405
p96,8,5,397,405,410
p25,9,6,401,410,416
p32,9,3,407,416,419
p47,9,1,410,419,420
p48,9,3,411,420,423
p59,9,4,414,423,427
p67,9,1,418,427,428
p76,9,4,419,428,432
p85,9,8,423,432,440
p88,9,9,431,440,449
p19,10,4,439,449,453
p22,10,10,443,453,463
p34,10,2,453,463,465
p74,10,7,455,465,472
p89,10,7,462,472,479
