Avg WT,Max WT,Avg TAT,Max TAT
"185,58",535,"191,11",545
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p4,0,9,402,402,393
p20,0,9,411,411,402
p34,0,2,2,2,0
p48,0,0,0,0,0
p50,0,4,58,58,54
p53,0,2,5,5,3
p64,0,8,273,273,265
p80,0,9,420,420,411
p86,0,7,181,181,174
p5,1,3,27,26,23
p11,1,8,281,280,272
p15,1,9,429,428,419
p17,1,10,493,492,482
p23,1,8,289,288,280
p24,1,7,188,187,180
p36,1,2,8,7,5
p39,1,0,2,1,1
p47,1,8,297,296,288
p65,1,8,305,304,296
p79,1,6,120,119,113
p2,2,0,2,0,0
p12,2,7,195,193,186
p14,2,3,30,28,25
p25,2,6,126,124,118
p27,2,7,202,200,193
p40,2,10,503,501,491
p43,2,9,438,436,427
p45,2,7,209,207,200
p49,2,10,513,511,501
p57,2,4,62,60,56
p58,2,7,216,214,207
p66,2,7,223,221,214
p77,2,10,523,521,511
p87,2,6,132,130,124
p99,2,1,3,1,0
p8,3,6,138,135,129
p19,3,7,230,227,220
p42,3,3,33,30,27
p59,3,4,66,63,59
p63,3,5,99,96,91
p72,3,6,144,141,135
p73,3,2,10,7,5
p97,3,4,70,67,63
p13,4,7,237,233,226
p55,4,8,313,309,301
p84,4,4,74,70,66
p92,4,8,321,317,309
p94,4,3,36,32,29
p0,5,8,329,324,316
p16,5,3,39,34,31
p18,5,1,6,1,0
p35,5,5,104,99,94
p37,5,9,447,442,433
p41,5,0,5,0,0
p46,5,2,12,7,5
p52,5,6,150,145,139
p68,5,9,456,451,442
p71,5,7,244,239,232
p89,5,5,109,104,99
p1,6,8,337,331,323
p7,6,8,345,339,331
p9,6,8,353,347,339
p22,6,6,156,150,144
p33,6,7,251,245,238
p51,6,8,361,355,347
p74,6,10,533,527,517
p75,6,3,42,36,33
p93,6,6,162,156,150
p6,7,2,14,7,5
p10,7,2,16,9,7
p21,7,4,78,71,67
p38,7,6,168,161,155
p61,7,5,114,107,102
p62,7,0,8,1,1
p76,7,3,45,38,35
p85,7,0,8,1,1
p90,7,3,48,41,38
p91,7,4,82,75,71
p26,8,2,18,10,8
p28,8,4,86,78,74
p29,8,9,465,457,448
p30,8,8,369,361,353
p31,8,10,543,535,525
p54,8,9,474,466,457
p67,8,2,20,12,10
p78,8,6,174,166,160
p83,8,0,8,0,0
p88,8,3,51,43,40
p95,8,10,553,545,535
p96,8,8,377,369,361
p3,9,2,22,13,11
p81,9,9,483,474,465
p82,9,3,54,45,42
p98,9,4,90,81,77
p32,10,2,24,14,12
p44,10,7,258,248,241
p56,10,8,385,375,367
p60,10,7,265,255,248
p69,10,8,393,383,375
p70,10,4,94,84,80
