Avg WT,Max WT,Avg TAT,Max TAT
"238,18",495,"233,6",485
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p15,0,1,0,0,1
p17,0,3,1,1,4
p21,0,9,4,4,13
p22,0,2,13,13,15
p24,0,3,15,15,18
p28,0,3,18,18,21
p32,0,1,21,21,22
p43,0,3,22,22,25
p48,0,2,25,25,27
p49,0,3,27,27,30
p57,0,5,30,30,35
p71,0,9,35,35,44
p74,0,0,44,44,44
p97,0,5,44,44,49
p99,0,9,49,49,58
p25,1,6,57,58,64
p54,1,1,63,64,65
p58,1,10,64,65,75
p62,1,6,74,75,81
p64,1,8,80,81,89
p77,1,7,88,89,96
p83,1,10,95,96,106
p84,1,0,105,106,106
p93,1,6,105,106,112
p36,2,8,110,112,120
p38,2,1,118,120,121
p39,2,5,119,121,126
p42,2,0,124,126,126
p63,2,1,124,126,127
p76,2,7,125,127,134
p78,2,2,132,134,136
p85,2,0,134,136,136
p3,3,5,133,136,141
p12,3,0,138,141,141
p16,3,0,138,141,141
p66,3,5,138,141,146
p68,3,5,143,146,151
p69,3,9,148,151,160
p70,3,5,157,160,165
p72,3,4,162,165,169
p5,4,4,165,169,173
p6,4,3,169,173,176
p11,4,9,172,176,185
p13,4,10,181,185,195
p14,4,9,191,195,204
p18,4,9,200,204,213
p19,4,6,209,213,219
p34,4,4,215,219,223
p40,4,10,219,223,233
p47,4,2,229,233,235
p52,4,6,231,235,241
p65,4,5,237,241,246
p92,4,1,242,246,247
p0,5,3,242,247,250
p27,5,8,245,250,258
p33,5,7,253,258,265
p35,5,4,260,265,269
p50,5,9,264,269,278
p56,5,6,273,278,284
p59,5,8,279,284,292
p73,5,7,287,292,299
p81,5,7,294,299,306
p89,5,6,301,306,312
p1,6,3,306,312,315
p31,6,8,309,315,323
p37,6,4,317,323,327
p60,6,4,321,327,331
p61,6,10,325,331,341
p67,6,10,335,341,351
p94,6,1,345,351,352
p8,7,6,345,352,358
p23,7,0,351,358,358
p55,7,4,351,358,362
p95,7,6,355,362,368
p9,8,8,360,368,376
p10,8,5,368,376,381
p20,8,8,373,381,389
p30,8,6,381,389,395
p46,8,0,387,395,395
p51,8,6,387,395,401
p88,8,10,393,401,411
p96,8,2,403,411,413
p4,9,8,404,413,421
p26,9,6,412,421,427
p41,9,1,418,427,428
p44,9,9,419,428,437
p45,9,4,428,437,441
p82,9,0,432,441,441
p90,9,10,432,441,451
p2,10,3,441,451,454
p7,10,4,444,454,458
p29,10,9,448,458,467
p53,10,6,457,467,473
p75,10,8,463,473,481
p79,10,0,471,481,481
p80,10,9,471,481,490
p86,10,0,480,490,490
p87,10,3,480,490,493
p91,10,2,483,493,495
p98,10,1,485,495,496
