Avg WT,Max WT,Avg TAT,Max TAT
"230,66",506,"226,12",496
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p32,0,2,0,0,2
p45,0,0,2,2,2
p61,0,1,2,2,3
p72,0,5,3,3,8
p74,0,5,8,8,13
p84,0,2,13,13,15
p89,0,9,15,15,24
p96,0,1,24,24,25
p98,0,3,25,25,28
p11,1,2,27,28,30
p14,1,10,29,30,40
p16,1,2,39,40,42
p23,1,0,41,42,42
p31,1,6,41,42,48
p60,1,4,47,48,52
p77,1,0,51,52,52
p83,1,0,51,52,52
p86,1,1,51,52,53
p93,1,4,52,53,57
p97,1,4,56,57,61
p99,1,8,60,61,69
p6,2,9,67,69,78
p25,2,3,76,78,81
p33,2,1,79,81,82
p49,2,3,80,82,85
p50,2,7,83,85,92
p51,2,9,90,92,101
p64,2,2,99,101,103
p79,2,3,101,103,106
p88,2,6,104,106,112
p3,3,4,109,112,116
p4,3,8,113,116,124
p26,3,2,121,124,126
p28,3,9,123,126,135
p34,3,1,132,135,136
p46,3,4,133,136,140
p63,3,8,137,140,148
p70,3,7,145,148,155
p5,4,10,151,155,165
p9,4,9,161,165,174
p12,4,1,170,174,175
p20,4,1,171,175,176
p35,4,6,172,176,182
p37,4,7,178,182,189
p42,4,2,185,189,191
p66,4,7,187,191,198
p67,4,7,194,198,205
p71,4,3,201,205,208
p73,4,5,204,208,213
p87,4,7,209,213,220
p92,4,3,216,220,223
p19,5,0,218,223,223
p24,5,8,218,223,231
p30,5,7,226,231,238
p48,5,7,233,238,245
p52,5,8,240,245,253
p55,5,8,248,253,261
p75,5,8,256,261,269
p78,5,10,264,269,279
p85,5,10,274,279,289
p7,6,4,283,289,293
p10,6,10,287,293,303
p27,6,3,297,303,306
p29,6,3,300,306,309
p39,6,3,303,309,312
p41,6,2,306,312,314
p44,6,9,308,314,323
p47,6,4,317,323,327
p54,6,7,321,327,334
p65,6,4,328,334,338
p0,7,1,331,338,339
p2,7,9,332,339,348
p17,7,9,341,348,357
p21,7,9,350,357,366
p36,7,7,359,366,373
p53,7,8,366,373,381
p57,7,7,374,381,388
p58,7,4,381,388,392
p59,7,5,385,392,397
p76,7,10,390,397,407
p13,8,4,399,407,411
p15,8,9,403,411,420
p18,8,2,412,420,422
p22,8,9,414,422,431
p38,8,9,423,431,440
p43,8,10,432,440,450
p62,8,1,442,450,451
p68,8,2,443,451,453
p81,8,4,445,453,457
p90,8,0,449,457,457
p94,8,6,449,457,463
p95,8,2,455,463,465
p1,9,2,456,465,467
p8,9,1,458,467,468
p69,9,8,459,468,476
p40,10,9,466,476,485
p56,10,9,475,485,494
p80,10,4,484,494,498
p82,10,8,488,498,506
p91,10,3,496,506,509
