Avg WT,Max WT,Avg TAT,Max TAT
"227,73",466,"222,26",456
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p1,0,3,0,0,3
p3,0,3,3,3,6
p22,0,8,6,6,14
p45,0,0,14,14,14
p76,0,1,14,14,15
p47,1,9,14,15,24
p59,1,1,23,24,25
p61,1,4,24,25,29
p64,1,0,28,29,29
p65,1,4,28,29,33
p79,1,8,32,33,41
p83,1,8,40,41,49
p90,1,10,48,49,59
p6,2,0,57,59,59
p29,2,3,57,59,62
p32,2,10,60,62,72
p49,2,2,70,72,74
p53,2,2,72,74,76
p60,2,6,74,76,82
p67,2,2,80,82,84
p70,2,3,82,84,87
p80,2,6,85,87,93
p85,2,0,91,93,93
p89,2,10,91,93,103
p2,3,7,100,103,110
p4,3,10,107,110,120
p8,3,10,117,120,130
p14,3,9,127,130,139
p17,3,0,136,139,139
p19,3,7,136,139,146
p33,3,0,143,146,146
p72,3,1,143,146,147
p77,3,7,144,147,154
p24,4,0,150,154,154
p30,4,9,150,154,163
p34,4,2,159,163,165
p37,4,2,161,165,167
p56,4,6,163,167,173
p73,4,10,169,173,183
p82,4,10,179,183,193
p12,5,2,188,193,195
p15,5,10,190,195,205
p25,5,5,200,205,210
p39,5,9,205,210,219
p46,5,7,214,219,226
p48,5,0,221,226,226
p66,5,9,221,226,235
p75,5,1,230,235,236
p93,5,3,231,236,239
p96,5,3,234,239,242
p7,6,1,236,242,243
p18,6,0,237,243,243
p21,6,2,237,243,245
p36,6,8,239,245,253
p50,6,2,247,253,255
p63,6,0,249,255,255
p69,6,1,249,255,256
p91,6,5,250,256,261
p99,6,2,255,261,263
p10,7,9,256,263,272
p11,7,9,265,272,281
p13,7,8,274,281,289
p26,7,7,282,289,296
p35,7,8,289,296,304
p54,7,0,297,304,304
p92,7,4,297,304,308
p0,8,0,300,308,308
p27,8,1,300,308,309
p41,8,1,301,309,310
p44,8,1,302,310,311
p52,8,5,303,311,316
p74,8,3,308,316,319
p84,8,3,311,319,322
p94,8,8,314,322,330
p20,9,8,321,330,338
p28,9,5,329,338,343
p31,9,5,334,343,348
p38,9,7,339,348,355
p40,9,10,346,355,365
p42,9,1,356,365,366
p51,9,9,357,366,375
p55,9,1,366,375,376
p57,9,6,367,376,382
p58,9,6,373,382,388
p62,9,3,379,388,391
p68,9,1,382,391,392
p87,9,5,383,392,397
p95,9,9,388,397,406
p97,9,1,397,406,407
p5,10,5,397,407,412
p9,10,8,402,412,420
p16,10,5,410,420,425
p23,10,10,415,425,435
p43,10,4,425,435,439
p71,10,4,429,439,443
p78,10,5,433,443,448
p81,10,7,438,448,455
p86,10,5,445,455,460
p88,10,6,450,460,466
p98,10,10,456,466,476
