Avg WT,Max WT,Avg TAT,Max TAT
"143,42",458,"148,2",468
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p0,0,10,408,408,398
p7,0,0,0,0,0
p15,0,4,60,60,56
p16,0,3,35,35,32
p18,0,4,64,64,60
p23,0,7,208,208,201
p29,0,10,418,418,408
p37,0,0,0,0,0
p39,0,2,2,2,0
p42,0,7,215,215,208
p54,0,6,141,141,135
p78,0,2,6,6,4
p83,0,3,38,38,35
p1,1,3,41,40,37
p2,1,9,344,343,334
p6,1,3,44,43,40
p8,1,2,12,11,9
p64,1,7,222,221,214
p77,1,1,3,2,1
p10,2,5,105,103,98
p13,2,4,68,66,62
p22,2,1,4,2,1
p26,2,6,147,145,139
p41,2,9,353,351,342
p55,2,7,229,227,220
p67,2,2,14,12,10
p68,2,5,110,108,103
p69,2,4,72,70,66
p70,2,10,428,426,416
p72,2,4,76,74,70
p88,2,5,115,113,108
p90,2,7,236,234,227
p12,3,7,243,240,233
p30,3,0,3,0,0
p33,3,2,16,13,11
p63,3,2,18,15,13
p65,3,2,20,17,15
p75,3,9,362,359,350
p93,3,6,153,150,144
p99,3,8,279,276,268
p45,4,10,438,434,424
p51,4,6,159,155,149
p98,4,6,165,161,155
p19,5,7,250,245,238
p24,5,2,22,17,15
p27,5,0,6,1,1
p34,5,3,47,42,39
p61,5,1,7,2,1
p62,5,1,8,3,2
p66,5,5,120,115,110
p80,5,9,371,366,357
p81,5,4,80,75,71
p86,5,6,171,166,160
p89,5,6,177,172,166
p91,5,10,448,443,433
p4,6,7,257,251,244
p40,6,4,84,78,74
p44,6,4,88,82,78
p48,6,3,50,44,41
p59,6,8,287,281,273
p76,6,2,24,18,16
p11,7,9,380,373,364
p14,7,6,183,176,170
p31,7,6,189,182,176
p57,7,8,295,288,280
p58,7,8,303,296,288
p71,7,1,9,2,1
p85,7,5,125,118,113
p92,7,9,389,382,373
p94,7,3,53,46,43
p17,8,10,458,450,440
p35,8,2,26,18,16
p36,8,1,10,2,1
p46,8,0,8,0,0
p47,8,10,468,460,450
p53,8,8,311,303,295
p82,8,3,56,48,45
p96,8,0,8,0,0
p9,9,7,264,255,248
p28,9,2,28,19,17
p38,9,0,9,0,0
p43,9,0,9,0,0
p52,9,8,319,310,302
p60,9,2,30,21,19
p79,9,5,130,121,116
p84,9,6,195,186,180
p87,9,4,92,83,79
p97,9,8,327,318,310
p3,10,0,10,0,0
p5,10,8,335,325,317
p20,10,4,96,86,82
p21,10,6,201,191,185
p25,10,2,32,22,20
p32,10,0,10,0,0
p49,10,0,10,0,0
p50,10,7,271,261,254
p56,10,9,398,388,379
p73,10,4,100,90,86
p74,10,10,478,468,458
p95,10,5,135,125,120
