Avg WT,Max WT,Avg TAT,Max TAT
"166,65",515,"171,99",525
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p6,0,4,61,61,57
p61,0,9,299,299,290
p64,0,8,234,234,226
p67,0,8,242,242,234
p68,0,1,1,1,0
p74,0,5,90,90,85
p81,0,9,308,308,299
p51,1,3,27,26,23
p57,1,5,95,94,89
p58,1,8,250,249,241
p73,1,5,100,99,94
p75,1,6,141,140,134
p89,1,1,2,1,0
p90,1,7,184,183,176
p93,1,0,1,0,0
p22,2,10,444,442,432
p30,2,3,30,28,25
p31,2,5,105,103,98
p40,2,7,191,189,182
p50,2,0,2,0,0
p66,2,2,4,2,0
p69,2,8,258,256,248
p71,2,3,33,31,28
p77,2,3,36,34,31
p87,2,3,39,37,34
p1,3,6,147,144,138
p16,3,0,4,1,1
p19,3,9,317,314,305
p20,3,6,153,150,144
p29,3,2,6,3,1
p65,3,6,159,156,150
p85,3,10,454,451,441
p94,3,0,4,1,1
p96,3,10,464,461,451
p0,4,3,42,38,35
p5,4,3,45,41,38
p37,4,5,110,106,101
p42,4,9,326,322,313
p54,4,5,115,111,106
p59,4,9,335,331,322
p63,4,7,198,194,187
p76,4,4,65,61,57
p79,4,5,120,116,111
p91,4,5,125,121,116
p17,5,8,266,261,253
p27,5,2,16,11,9
p35,5,6,165,160,154
p38,5,9,344,339,330
p43,5,1,7,2,1
p83,5,1,8,3,2
p92,5,5,130,125,120
p98,5,7,205,200,193
p3,6,8,274,268,260
p7,6,9,353,347,338
p9,6,5,135,129,124
p11,6,3,48,42,39
p15,6,6,171,165,159
p21,6,4,69,63,59
p28,6,10,474,468,458
p44,6,1,9,3,2
p82,6,7,212,206,199
p32,7,6,177,170,164
p36,7,7,219,212,205
p47,7,9,362,355,346
p60,7,9,371,364,355
p84,7,3,51,44,41
p99,7,3,54,47,44
p4,8,9,380,372,363
p12,8,10,484,476,466
p24,8,0,8,0,0
p25,8,9,389,381,372
p49,8,0,8,0,0
p56,8,1,10,2,1
p62,8,4,73,65,61
p2,9,10,494,485,475
p8,9,2,18,9,7
p10,9,9,398,389,380
p18,9,3,57,48,45
p33,9,8,282,273,265
p45,9,1,11,2,1
p48,9,2,20,11,9
p52,9,9,407,398,389
p53,9,0,9,0,0
p55,9,10,504,495,485
p70,9,10,514,505,495
p72,9,7,226,217,210
p78,9,1,12,3,2
p86,9,9,416,407,398
p88,9,10,524,515,505
p95,9,10,534,525,515
p97,9,4,77,68,64
p13,10,1,13,3,2
p14,10,4,81,71,67
p23,10,2,22,12,10
p26,10,2,24,14,12
p34,10,1,14,4,3
p39,10,9,425,415,406
p41,10,8,290,280,272
p46,10,4,85,75,71
p80,10,9,434,424,415
