Avg WT,Max WT,Avg TAT,Max TAT
"150,18",477,"155,14",487
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p15,0,1,1,1,0
p17,0,3,24,24,21
p21,0,9,326,326,317
p22,0,2,9,9,7
p24,0,3,27,27,24
p28,0,3,30,30,27
p32,0,1,2,2,1
p43,0,3,33,33,30
p48,0,2,13,13,11
p49,0,3,36,36,33
p57,0,5,92,92,87
p71,0,9,335,335,326
p74,0,0,0,0,0
p97,0,5,97,97,92
p99,0,9,344,344,335
p25,1,6,138,137,131
p54,1,1,3,2,1
p58,1,10,426,425,415
p62,1,6,144,143,137
p64,1,8,253,252,244
p77,1,7,217,216,209
p83,1,10,436,435,425
p84,1,0,1,0,0
p93,1,6,150,149,143
p36,2,8,261,259,251
p38,2,1,4,2,1
p39,2,5,102,100,95
p42,2,0,2,0,0
p63,2,1,5,3,2
p76,2,7,224,222,215
p78,2,2,15,13,11
p85,2,0,2,0,0
p3,3,5,107,104,99
p12,3,0,3,0,0
p16,3,0,3,0,0
p66,3,5,112,109,104
p68,3,5,117,114,109
p69,3,9,353,350,341
p70,3,5,122,119,114
p72,3,4,55,52,48
p5,4,4,59,55,51
p6,4,3,39,35,32
p11,4,9,362,358,349
p13,4,10,446,442,432
p14,4,9,371,367,358
p18,4,9,380,376,367
p19,4,6,156,152,146
p34,4,4,63,59,55
p40,4,10,456,452,442
p47,4,2,17,13,11
p52,4,6,162,158,152
p65,4,5,127,123,118
p92,4,1,6,2,1
p0,5,3,42,37,34
p27,5,8,269,264,256
p33,5,7,231,226,219
p35,5,4,67,62,58
p50,5,9,389,384,375
p56,5,6,168,163,157
p59,5,8,277,272,264
p73,5,7,238,233,226
p81,5,7,245,240,233
p89,5,6,174,169,163
p1,6,3,45,39,36
p31,6,8,285,279,271
p37,6,4,71,65,61
p60,6,4,75,69,65
p61,6,10,466,460,450
p67,6,10,476,470,460
p94,6,1,7,1,0
p8,7,6,180,173,167
p23,7,0,7,0,0
p55,7,4,79,72,68
p95,7,6,186,179,173
p9,8,8,293,285,277
p10,8,5,132,124,119
p20,8,8,301,293,285
p30,8,6,192,184,178
p46,8,0,9,1,1
p51,8,6,198,190,184
p88,8,10,486,478,468
p96,8,2,19,11,9
p4,9,8,309,300,292
p26,9,6,204,195,189
p41,9,1,10,1,0
p44,9,9,398,389,380
p45,9,4,83,74,70
p82,9,0,9,0,0
p90,9,10,496,487,477
p2,10,3,48,38,35
p7,10,4,87,77,73
p29,10,9,407,397,388
p53,10,6,210,200,194
p75,10,8,317,307,299
p79,10,0,10,0,0
p80,10,9,416,406,397
p86,10,0,10,0,0
p87,10,3,51,41,38
p91,10,2,21,11,9
p98,10,1,11,1,0
