Avg WT,Max WT,Avg TAT,Max TAT
"285,9",562,"280,9",552
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p3,0,6,0,0,6
p20,0,9,6,6,15
p27,0,7,15,15,22
p49,0,9,22,22,31
p53,0,4,31,31,35
p59,0,8,35,35,43
p71,0,3,43,43,46
p86,0,4,46,46,50
p91,0,10,50,50,60
p94,0,5,60,60,65
p5,1,8,64,65,73
p14,1,10,72,73,83
p30,1,7,82,83,90
p41,1,6,89,90,96
p45,1,9,95,96,105
p78,1,1,104,105,106
p87,1,5,105,106,111
p7,2,3,109,111,114
p12,2,6,112,114,120
p28,2,8,118,120,128
p36,2,3,126,128,131
p38,2,7,129,131,138
p39,2,4,136,138,142
p42,2,3,140,142,145
p54,2,9,143,145,154
p84,2,3,152,154,157
p92,2,6,155,157,163
p99,2,6,161,163,169
p4,3,6,166,169,175
p9,3,1,172,175,176
p11,3,10,173,176,186
p21,3,7,183,186,193
p22,3,10,190,193,203
p23,3,4,200,203,207
p29,3,4,204,207,211
p33,3,0,208,211,211
p51,3,1,208,211,212
p60,3,6,209,212,218
p73,3,3,215,218,221
p74,3,6,218,221,227
p75,3,9,224,227,236
p80,3,9,233,236,245
p89,3,3,242,245,248
p90,3,8,245,248,256
p96,3,5,253,256,261
p46,4,10,257,261,271
p58,4,6,267,271,277
p79,4,3,273,277,280
p82,4,9,276,280,289
p2,5,7,284,289,296
p18,5,2,291,296,298
p57,5,5,293,298,303
p64,5,3,298,303,306
p70,5,0,301,306,306
p0,6,10,300,306,316
p17,6,6,310,316,322
p40,6,0,316,322,322
p65,6,8,316,322,330
p76,6,5,324,330,335
p88,6,10,329,335,345
p93,6,10,339,345,355
p95,6,3,349,355,358
p97,6,6,352,358,364
p98,6,3,358,364,367
p26,7,3,360,367,370
p43,7,4,363,370,374
p44,7,5,367,374,379
p62,7,9,372,379,388
p69,7,10,381,388,398
p81,7,1,391,398,399
p10,8,2,391,399,401
p24,8,7,393,401,408
p66,8,10,400,408,418
p83,8,6,410,418,424
p1,9,2,415,424,426
p13,9,10,417,426,436
p15,9,5,427,436,441
p16,9,3,432,441,444
p25,9,7,435,444,451
p31,9,8,442,451,459
p35,9,2,450,459,461
p37,9,1,452,461,462
p55,9,7,453,462,469
p56,9,6,460,469,475
p61,9,8,466,475,483
p63,9,2,474,483,485
p72,9,9,476,485,494
p77,9,0,485,494,494
p85,9,9,485,494,503
p6,10,2,493,503,505
p8,10,6,495,505,511
p19,10,7,501,511,518
p32,10,6,508,518,524
p34,10,3,514,524,527
p47,10,7,517,527,534
p48,10,10,524,534,544
p50,10,2,534,544,546
p52,10,7,536,546,553
p67,10,9,543,553,562
p68,10,1,552,562,563
