Avg WT,Max WT,Avg TAT,Max TAT
"236,42",473,"231,41",463
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p0,0,10,0,0,10
p7,0,0,10,10,10
p15,0,4,10,10,14
p16,0,3,14,14,17
p18,0,4,17,17,21
p23,0,7,21,21,28
p29,0,10,28,28,38
p37,0,0,38,38,38
p39,0,2,38,38,40
p42,0,7,40,40,47
p54,0,6,47,47,53
p78,0,2,53,53,55
p83,0,3,55,55,58
p1,1,3,57,58,61
p2,1,9,60,61,70
p6,1,3,69,70,73
p8,1,2,72,73,75
p64,1,7,74,75,82
p77,1,1,81,82,83
p10,2,5,81,83,88
p13,2,4,86,88,92
p22,2,1,90,92,93
p26,2,6,91,93,99
p41,2,9,97,99,108
p55,2,7,106,108,115
p67,2,2,113,115,117
p68,2,5,115,117,122
p69,2,4,120,122,126
p70,2,10,124,126,136
p72,2,4,134,136,140
p88,2,5,138,140,145
p90,2,7,143,145,152
p12,3,7,149,152,159
p30,3,0,156,159,159
p33,3,2,156,159,161
p63,3,2,158,161,163
p65,3,2,160,163,165
p75,3,9,162,165,174
p93,3,6,171,174,180
p99,3,8,177,180,188
p45,4,10,184,188,198
p51,4,6,194,198,204
p98,4,6,200,204,210
p19,5,7,205,210,217
p24,5,2,212,217,219
p27,5,0,214,219,219
p34,5,3,214,219,222
p61,5,1,217,222,223
p62,5,1,218,223,224
p66,5,5,219,224,229
p80,5,9,224,229,238
p81,5,4,233,238,242
p86,5,6,237,242,248
p89,5,6,243,248,254
p91,5,10,249,254,264
p4,6,7,258,264,271
p40,6,4,265,271,275
p44,6,4,269,275,279
p48,6,3,273,279,282
p59,6,8,276,282,290
p76,6,2,284,290,292
p11,7,9,285,292,301
p14,7,6,294,301,307
p31,7,6,300,307,313
p57,7,8,306,313,321
p58,7,8,314,321,329
p71,7,1,322,329,330
p85,7,5,323,330,335
p92,7,9,328,335,344
p94,7,3,337,344,347
p17,8,10,339,347,357
p35,8,2,349,357,359
p36,8,1,351,359,360
p46,8,0,352,360,360
p47,8,10,352,360,370
p53,8,8,362,370,378
p82,8,3,370,378,381
p96,8,0,373,381,381
p9,9,7,372,381,388
p28,9,2,379,388,390
p38,9,0,381,390,390
p43,9,0,381,390,390
p52,9,8,381,390,398
p60,9,2,389,398,400
p79,9,5,391,400,405
p84,9,6,396,405,411
p87,9,4,402,411,415
p97,9,8,406,415,423
p3,10,0,413,423,423
p5,10,8,413,423,431
p20,10,4,421,431,435
p21,10,6,425,435,441
p25,10,2,431,441,443
p32,10,0,433,443,443
p49,10,0,433,443,443
p50,10,7,433,443,450
p56,10,9,440,450,459
p73,10,4,449,459,463
p74,10,10,453,463,473
p95,10,5,463,473,478
