Avg WT,Max WT,Avg TAT,Max TAT
"160,84",505,"166,08",515
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p4,0,3,35,35,32
p13,0,6,117,117,111
p16,0,0,0,0,0
p24,0,5,76,76,71
p42,0,2,2,2,0
p56,0,9,308,308,299
p67,0,10,444,444,434
p68,0,3,38,38,35
p75,0,7,184,184,177
p93,0,9,317,317,308
p98,0,10,454,454,444
p99,0,6,123,123,117
p7,1,4,63,62,58
p19,1,5,81,80,75
p33,1,2,12,11,9
p39,1,3,41,40,37
p43,1,3,44,43,40
p52,1,5,86,85,80
p65,1,10,464,463,453
p74,1,10,474,473,463
p78,1,8,227,226,218
p84,1,6,129,128,122
p18,2,1,3,1,0
p22,2,0,2,0,0
p26,2,0,2,0,0
p32,2,9,326,324,315
p46,2,8,235,233,225
p49,2,9,335,333,324
p50,2,5,91,89,84
p80,2,4,67,65,61
p86,2,1,4,2,1
p1,3,1,5,2,1
p53,3,1,6,3,2
p58,3,2,14,11,9
p64,3,5,96,93,88
p81,3,7,191,188,181
p88,3,6,135,132,126
p17,4,5,101,97,92
p28,4,3,47,43,40
p37,4,10,484,480,470
p40,4,6,141,137,131
p47,4,7,198,194,187
p54,4,1,7,3,2
p63,4,10,494,490,480
p72,4,3,50,46,43
p77,4,3,53,49,46
p89,4,0,4,0,0
p90,4,10,504,500,490
p10,5,6,147,142,136
p20,5,8,243,238,230
p29,5,3,56,51,48
p30,5,6,153,148,142
p41,5,9,344,339,330
p57,5,2,16,11,9
p2,6,5,106,100,95
p3,6,3,59,53,50
p15,6,8,251,245,237
p23,6,8,259,253,245
p27,6,6,159,153,147
p35,6,9,353,347,338
p36,6,2,18,12,10
p51,6,0,6,0,0
p66,6,9,362,356,347
p70,6,0,6,0,0
p94,6,1,8,2,1
p96,6,0,6,0,0
p97,6,10,514,508,498
p0,7,0,7,0,0
p6,7,1,9,2,1
p9,7,7,205,198,191
p14,7,4,71,64,60
p21,7,2,20,13,11
p44,7,1,10,3,2
p73,7,9,371,364,355
p85,7,6,165,158,152
p87,7,2,22,15,13
p8,8,8,267,259,251
p12,8,6,171,163,157
p25,8,7,212,204,197
p31,8,9,380,372,363
p38,8,8,275,267,259
p45,8,6,177,169,163
p5,9,9,389,380,371
p11,9,9,398,389,380
p59,9,5,111,102,97
p61,9,9,407,398,389
p62,9,9,416,407,398
p69,9,2,24,15,13
p76,9,7,219,210,203
p79,9,10,524,515,505
p92,9,2,26,17,15
p95,9,0,9,0,0
p34,10,2,28,18,16
p48,10,8,283,273,265
p55,10,9,425,415,406
p60,10,8,291,281,273
p71,10,2,30,20,18
p82,10,9,434,424,415
p83,10,2,32,22,20
p91,10,8,299,289,281
