Avg WT,Max WT,Avg TAT,Max TAT
"160,03",494,"165,17",504
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p10,0,6,151,151,145
p19,0,6,157,157,151
p41,0,7,212,212,205
p73,0,5,90,90,85
p85,0,4,61,61,57
p99,0,3,3,3,0
p3,1,1,4,3,2
p26,1,1,5,4,3
p33,1,6,163,162,156
p46,1,0,3,2,2
p56,1,2,8,7,5
p60,1,7,219,218,211
p63,1,3,30,29,26
p72,1,0,3,2,2
p75,1,8,283,282,274
p95,1,9,348,347,338
p98,1,0,3,2,2
p7,2,10,394,392,382
p14,2,7,226,224,217
p23,2,6,169,167,161
p30,2,3,33,31,28
p35,2,9,357,355,346
p42,2,9,366,364,355
p43,2,0,3,1,1
p79,2,2,13,11,9
p84,2,5,95,93,88
p20,3,5,100,97,92
p88,3,6,175,172,166
p91,3,6,181,178,172
p97,3,4,65,62,58
p12,4,9,375,371,362
p15,4,7,233,229,222
p16,4,7,240,236,229
p21,4,8,291,287,279
p38,4,7,247,243,236
p54,4,5,105,101,96
p58,4,6,187,183,177
p59,4,2,15,11,9
p68,4,5,110,106,101
p47,5,1,6,1,0
p61,5,6,193,188,182
p71,5,8,299,294,286
p76,5,5,115,110,105
p80,5,5,120,115,110
p83,5,10,404,399,389
p89,5,9,384,379,370
p6,6,5,125,119,114
p8,6,10,414,408,398
p18,6,3,36,30,27
p27,6,2,17,11,9
p36,6,10,424,418,408
p67,6,10,434,428,418
p4,7,2,19,12,10
p40,7,3,39,32,29
p45,7,4,69,62,58
p50,7,2,21,14,12
p52,7,5,130,123,118
p53,7,3,42,35,32
p57,7,8,307,300,292
p70,7,3,45,38,35
p81,7,8,315,308,300
p86,7,5,135,128,123
p87,7,6,199,192,186
p90,7,7,254,247,240
p92,7,4,73,66,62
p94,7,1,9,2,1
p96,7,8,323,316,308
p0,8,10,444,436,426
p1,8,10,454,446,436
p9,8,2,23,15,13
p25,8,0,8,0,0
p29,8,4,77,69,65
p37,8,0,8,0,0
p44,8,7,261,253,246
p51,8,5,140,132,127
p69,8,7,268,260,253
p74,8,1,10,2,1
p77,8,3,48,40,37
p2,9,10,464,455,445
p5,9,1,11,2,1
p11,9,7,275,266,259
p17,9,2,25,16,14
p22,9,0,9,0,0
p24,9,8,331,322,314
p28,9,2,27,18,16
p34,9,0,9,0,0
p48,9,3,51,42,39
p55,9,6,205,196,190
p62,9,4,81,72,68
p64,9,10,474,465,455
p65,9,10,484,475,465
p82,9,5,145,136,131
p93,9,3,54,45,42
p13,10,0,10,0,0
p31,10,4,85,75,71
p32,10,10,494,484,474
p39,10,8,339,329,321
p49,10,3,57,47,44
p66,10,10,504,494,484
p78,10,10,514,504,494
