Avg WT,Max WT,Avg TAT,Max TAT
"145,38",474,"150,29",484
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p43,0,8,231,231,223
p45,0,1,1,1,0
p54,0,10,401,401,391
p55,0,1,2,2,1
p61,0,4,57,57,53
p70,0,10,411,411,401
p81,0,2,15,15,13
p85,0,8,239,239,231
p11,1,1,3,2,1
p15,1,5,90,89,84
p21,1,2,17,16,14
p36,1,9,328,327,318
p44,1,10,421,420,410
p57,1,0,1,0,0
p63,1,5,95,94,89
p72,1,0,1,0,0
p83,1,8,247,246,238
p92,1,6,146,145,139
p94,1,10,431,430,420
p1,2,4,61,59,55
p5,2,8,255,253,245
p9,2,3,38,36,33
p34,2,8,263,261,253
p38,2,7,195,193,186
p65,2,3,41,39,36
p6,3,1,4,1,0
p25,3,0,3,0,0
p29,3,10,441,438,428
p30,3,10,451,448,438
p35,3,0,3,0,0
p37,3,3,44,41,38
p51,3,1,5,2,1
p53,3,10,461,458,448
p56,3,3,47,44,41
p69,3,1,6,3,2
p71,3,3,50,47,44
p73,3,5,100,97,92
p75,3,1,7,4,3
p7,4,2,19,15,13
p10,4,9,337,333,324
p18,4,7,202,198,191
p39,4,8,271,267,259
p60,4,8,279,275,267
p76,4,1,8,4,3
p90,4,1,9,5,4
p97,4,0,4,0,0
p14,5,4,65,60,56
p23,5,9,346,341,332
p26,5,5,105,100,95
p47,5,3,53,48,45
p59,5,9,355,350,341
p62,5,8,287,282,274
p82,5,4,69,64,60
p86,5,0,5,0,0
p3,6,1,10,4,3
p16,6,5,110,104,99
p27,6,6,152,146,140
p32,6,2,21,15,13
p64,6,6,158,152,146
p74,6,6,164,158,152
p77,6,1,11,5,4
p78,6,6,170,164,158
p88,6,2,23,17,15
p0,7,2,25,18,16
p2,7,9,364,357,348
p17,7,4,73,66,62
p24,7,9,373,366,357
p40,7,10,471,464,454
p42,7,10,481,474,464
p52,7,10,491,484,474
p91,7,5,115,108,103
p93,7,9,382,375,366
p99,7,7,209,202,195
p12,8,8,295,287,279
p28,8,8,303,295,287
p46,8,5,120,112,107
p49,8,5,125,117,112
p50,8,2,27,19,17
p58,8,7,216,208,201
p68,8,5,130,122,117
p79,8,6,176,168,162
p80,8,2,29,21,19
p89,8,4,77,69,65
p96,8,2,31,23,21
p4,9,8,311,302,294
p13,9,6,182,173,167
p22,9,7,223,214,207
p31,9,9,391,382,373
p33,9,5,135,126,121
p41,9,1,12,3,2
p48,9,2,33,24,22
p66,9,5,140,131,126
p67,9,0,9,0,0
p84,9,2,35,26,24
p8,10,1,13,3,2
p19,10,4,81,71,67
p20,10,8,319,309,301
p87,10,6,188,178,172
p95,10,0,10,0,0
p98,10,4,85,75,71
