Avg WT,Max WT,Avg TAT,Max TAT
"159,29",487,"164,36",497
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p1,0,10,427,427,417
p31,0,6,162,162,156
p42,0,9,354,354,345
p46,0,1,1,1,0
p49,0,1,2,2,1
p64,0,5,91,91,86
p79,0,9,363,363,354
p95,0,7,217,217,210
p25,1,5,96,95,90
p39,1,9,372,371,362
p65,1,6,168,167,161
p66,1,7,224,223,216
p68,1,5,101,100,95
p82,1,7,231,230,223
p0,2,0,2,0,0
p7,2,8,281,279,271
p17,2,2,18,16,14
p63,2,6,174,172,166
p76,2,7,238,236,229
p88,2,8,289,287,279
p93,2,2,20,18,16
p99,2,1,3,1,0
p6,3,0,3,0,0
p12,3,9,381,378,369
p14,3,6,180,177,171
p26,3,0,3,0,0
p29,3,8,297,294,286
p36,3,5,106,103,98
p51,3,1,4,1,0
p55,3,8,305,302,294
p4,4,2,22,18,16
p16,4,10,437,433,423
p18,4,5,111,107,102
p33,4,3,31,27,24
p37,4,2,24,20,18
p45,4,4,62,58,54
p53,4,3,34,30,27
p61,4,1,5,1,0
p71,4,1,6,2,1
p87,4,3,37,33,30
p96,4,5,116,112,107
p2,5,4,66,61,57
p13,5,8,313,308,300
p15,5,7,245,240,233
p19,5,10,447,442,432
p23,5,3,40,35,32
p32,5,8,321,316,308
p43,5,1,7,2,1
p48,5,1,8,3,2
p58,5,4,70,65,61
p62,5,2,26,21,19
p70,5,7,252,247,240
p75,5,3,43,38,35
p92,5,5,121,116,111
p3,6,5,126,120,115
p11,6,6,186,180,174
p21,6,1,9,3,2
p57,6,6,192,186,180
p69,6,6,198,192,186
p81,6,6,204,198,192
p90,6,7,259,253,246
p98,6,5,131,125,120
p9,7,1,10,3,2
p20,7,10,457,450,440
p27,7,1,11,4,3
p30,7,1,12,5,4
p35,7,2,28,21,19
p38,7,9,390,383,374
p56,7,10,467,460,450
p74,7,3,46,39,36
p78,7,10,477,470,460
p80,7,10,487,480,470
p84,7,5,136,129,124
p85,7,8,329,322,314
p89,7,9,399,392,383
p8,8,7,266,258,251
p28,8,1,13,5,4
p40,8,9,408,400,391
p47,8,4,74,66,62
p67,8,9,417,409,400
p73,8,3,49,41,38
p77,8,3,52,44,41
p91,8,1,14,6,5
p5,9,5,141,132,127
p22,9,8,337,328,320
p50,9,5,146,137,132
p54,9,1,15,6,5
p59,9,3,55,46,43
p60,9,1,16,7,6
p86,9,6,210,201,195
p10,10,7,273,263,256
p24,10,8,345,335,327
p34,10,4,78,68,64
p41,10,5,151,141,136
p44,10,10,497,487,477
p52,10,3,58,48,45
p72,10,10,507,497,487
p83,10,4,82,72,68
p94,10,4,86,76,72
p97,10,5,156,146,141
