Pages,Capacity,Page Hits,Page Fault
100,9,27,73
100,9,27,73
100,9,33,67
100,9,30,70
100,9,32,68
100,9,32,68
100,9,28,72
100,9,30,70
100,9,32,68
100,9,31,69
100,9,35,65
100,9,22,78
100,9,21,79
100,9,27,73
100,9,36,64
100,9,27,73
100,9,34,66
100,9,30,70
100,9,31,69
100,9,31,69
